"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C203912",,,"MRCT Center Clinical Research Glossary","MRCT Center Clinical Research Glossary","MRCT Center Clinical Research Glossary","The terminology relevant to the plain language glossary of the Multi-Regional Clinical Trial (MRCT) Center of Brigham and Women's Hospital and Harvard.","CDISC MRCT Center Clinical Research Glossary","MRCT CT 2024-03-29"
"C203914","C203912",,"MRCT Center Clinical Research Glossary","additive effect",,"The combined effect when two or more things are used together. (https://mrctcenter.org/glossaryterm/additive-effect/)","Additive Effect","MRCT CT 2024-03-29"
"C25729","C203912",,"MRCT Center Clinical Research Glossary","adherence",,"Following the study directions and requirements. (https://mrctcenter.org/glossaryterm/adherence/)","Adherence","MRCT CT 2024-03-29"
"C41331","C203912",,"MRCT Center Clinical Research Glossary","adverse event",,"Any health problem that happens during the study. (https://mrctcenter.org/glossaryterm/adverse-event/)","Adverse Event","MRCT CT 2024-03-29"
"C41332","C203912",,"MRCT Center Clinical Research Glossary","adverse reaction",,"A health problem that happens during the study and is reported as possibly caused by the study treatment. (https://mrctcenter.org/glossaryterm/adverse-reaction/)","Adverse Reaction","MRCT CT 2024-03-29"
"C142392","C203912",,"MRCT Center Clinical Research Glossary","anonymize",,"Remove, change, or hide personal details to protect participant privacy. (https://mrctcenter.org/glossaryterm/anonymize/)","Anonymization","MRCT CT 2024-03-29"
"C268","C203912",,"MRCT Center Clinical Research Glossary","antigen",,"A substance that causes the body's immune system to react. (https://mrctcenter.org/glossaryterm/antigen/)","Antigen","MRCT CT 2024-03-29"
"C15538","C203912",,"MRCT Center Clinical Research Glossary","arm",,"A group of participants in a research study who all receive the same study treatment. (https://mrctcenter.org/glossaryterm/arm/)","Protocol Treatment Arm","MRCT CT 2024-03-29"
"C203934","C203912",,"MRCT Center Clinical Research Glossary","assent form",,"A document used to explain the details of a research study to children or people who are unable to give legal consent. (https://mrctcenter.org/glossaryterm/assent-form/)","Assent Form","MRCT CT 2024-03-29"
"C161418","C203912",,"MRCT Center Clinical Research Glossary","assent",,"Willingness to take part in a research study by someone who is not able to give legal consent. (https://mrctcenter.org/glossaryterm/assent/)","Informed Assent","MRCT CT 2024-03-29"
"C25217","C203912",,"MRCT Center Clinical Research Glossary","assessment",,"Information that is collected and analyzed from a study participant. (https://mrctcenter.org/glossaryterm/assessment/)","Assessment","MRCT CT 2024-03-29"
"C142400","C203912",,"MRCT Center Clinical Research Glossary","baseline assessment",,"Information that is collected and analyzed from a study participant at the start of a study. (https://mrctcenter.org/glossaryterm/baseline-assessment/)","Baseline Assessment","MRCT CT 2024-03-29"
"C165823","C203912",,"MRCT Center Clinical Research Glossary","basket trial",,"A research study that tests one study treatment for different diseases and conditions. (https://mrctcenter.org/glossaryterm/basket-trial/)","Basket Protocol","MRCT CT 2024-03-29"
"C203915","C203912",,"MRCT Center Clinical Research Glossary","benefits of a research study",,"The ways a research study might help the participant and others. (https://mrctcenter.org/glossaryterm/benefits-of-a-research-study/)","Benefits of a Research Study","MRCT CT 2024-03-29"
"C28232","C203912",,"MRCT Center Clinical Research Glossary","bias (research)",,"Flaws in the way a study is designed, done, or analyzed that lead to one conclusion being favored over another. (https://mrctcenter.org/glossaryterm/research-bias/)","Bias","MRCT CT 2024-03-29"
"C16342","C203912",,"MRCT Center Clinical Research Glossary","biomarker",,"Something in the body that is measured as an indicator of personal health or disease. (https://mrctcenter.org/glossaryterm/biomarker/)","Biomarker","MRCT CT 2024-03-29"
"C37932","C203912",,"MRCT Center Clinical Research Glossary","birth control",,"A way to prevent pregnancy. (https://mrctcenter.org/glossaryterm/birth-control/)","Contraception","MRCT CT 2024-03-29"
"C17610","C203912",,"MRCT Center Clinical Research Glossary","blood draw",,"Taking a sample of blood by using a needle. (https://mrctcenter.org/glossaryterm/blood-draw/)","Blood Sample","MRCT CT 2024-03-29"
