"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C158118",,"Yes","Age Estimation Method Response","AGESMETH","Age Estimation Method Response","Terminology related to the method by which the age of an individual is determined through estimation.","CDISC SEND Age Estimation Method Response Terminology","SEND CT 2024-03-29"
"C158324","C158118",,"Age Estimation Method Response","ANIMAL RECORDS",,"Information obtained from medical records, acquisition records, or other official documentation associated with the animal.","Animal Record Information","SEND CT 2024-03-29"
"C158323","C158118",,"Age Estimation Method Response","DENTAL EXAM",,"A systematic evaluation of the mouth, face, and neck, which may include tooth counting, cleaning and visual assessment.","Dental Examination","SEND CT 2024-03-29"
"C20989","C158118",,"Age Estimation Method Response","PHYSICAL EXAMINATION","Physical Exam","A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation.","Physical Examination","SEND CT 2024-03-29"
"C128940","C158118",,"Age Estimation Method Response","RADIOGRAPHY","Radiographic Exam","A radiographic procedure using the emission of penetrating energy waves to form an image of the structure.","Radiographic Examination","SEND CT 2024-03-29"
"C17998","C158118",,"Age Estimation Method Response","UNKNOWN","U; UNK; Unknown","Not known, not observed, not recorded, or refused. (NCI)","Unknown","SEND CT 2024-03-29"
"C66781",,"No","Age Unit","AGEU","Age Unit","Those units of time that are routinely used to express the age of a subject.","CDISC SDTM Age Unit Terminology","SEND CT 2024-03-29"
"C25301","C66781",,"Age Unit","DAYS",,"A unit of measurement of time equal to 24 hours.","Day","SEND CT 2024-03-29"
"C25529","C66781",,"Age Unit","HOURS","h; Hours; hr","A unit of measurement of time equal to 60 minutes.","Hour","SEND CT 2024-03-29"
"C29846","C66781",,"Age Unit","MONTHS","Month","One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI)","Month","SEND CT 2024-03-29"
"C29844","C66781",,"Age Unit","WEEKS","Week","Any period of seven consecutive days. (NCI)","Week","SEND CT 2024-03-29"
"C29848","C66781",,"Age Unit","YEARS","Year","The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)","Year","SEND CT 2024-03-29"
"C74456",,"Yes","Anatomical Location","LOC","Anatomical Location","Terminology codelist used for anatomical location within CDISC.","CDISC SDTM Anatomical Location Terminology","SEND CT 2024-03-29"
"C116163","C74456",,"Anatomical Location","5TH LUMBAR SPINOUS PROCESS",,"The spinous process of the 5th lumbar vertebra.","Fifth Lumbar Spinous Process","SEND CT 2024-03-29"
"C32038","C74456",,"Anatomical Location","ABDOMINAL AORTA",,"The portion of the descending aorta that lies within the abdomen, beginning below the diaphragm and ending at its division into the right and left common iliac arteries. (NCI)","Abdominal Aorta","SEND CT 2024-03-29"
"C12664","C74456",,"Anatomical Location","ABDOMINAL CAVITY","Abdomen","The body cavity between the thoracic and pelvic cavities in mammals.","Abdomen","SEND CT 2024-03-29"
"C12360","C74456",,"Anatomical Location","ABDOMINAL LYMPH NODE",,"Any lymph node within the abdomen.","Intra-Abdominal Lymph Node","SEND CT 2024-03-29"
"C151399","C74456",,"Anatomical Location","ABDOMINAL QUADRANT, LEFT LOWER",,"The left lower quadrant of the abdomen.","Left Lower Quadrant of Abdomen","SEND CT 2024-03-29"
"C151397","C74456",,"Anatomical Location","ABDOMINAL QUADRANT, LEFT UPPER",,"The left upper quadrant of the abdomen.","Left Upper Quadrant of Abdomen","SEND CT 2024-03-29"
"C151400","C74456",,"Anatomical Location","ABDOMINAL QUADRANT, RIGHT LOWER",,"The right lower quadrant of the abdomen.","Right Lower Quadrant of Abdomen","SEND CT 2024-03-29"
"C151398","C74456",,"Anatomical Location","ABDOMINAL QUADRANT, RIGHT UPPER",,"The right upper quadrant of the abdomen.","Right Upper Quadrant of Abdomen","SEND CT 2024-03-29"
"C139186","C74456",,"Anatomical Location","ABDOMINAL REGION",,"Any portion of the body that lies within the boundary, either internally or externally, of the abdomen: superior margin, the thorax; inferior margin, the pelvis; lateral margins, the ribs.","Abdominal Region","SEND CT 2024-03-29"
