"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C78418",,"Yes","Concomitant Medication Dose Form","CMDOSFRM","Concomitant Medication Dose Form","A terminology subset of the CDISC SDTM Pharmaceutical Dosage Form codelist created for CDASH Concomitant Medication Dose Form codelist. (NCI)","CDISC CDASH Concomitant Medication Dose Form Terminology","CDASH CT 2025-03-28"
"C42887","C78418",,"Concomitant Medication Dose Form","AEROSOL","aer","A product that is packaged under pressure and contains therapeutically active ingredients that are released upon activation of an appropriate valve system; it is intended for topical application to the skin as well as local application into the nose (nasal aerosols), mouth (lingual aerosols), or lungs (inhalation aerosols).","Aerosol Dosage Form","CDASH CT 2025-03-28"
"C25158","C78418",,"Concomitant Medication Dose Form","CAPSULE","cap","A solid pharmaceutical dosage form that contains medicinal agent within either a hard or soft soluble container or shell, usually used for the oral administration of medicine. The shells are made of a suitable form of gelatin or other substance. (NCI)","Capsule Dosage Form","CDASH CT 2025-03-28"
"C28944","C78418",,"Concomitant Medication Dose Form","CREAM",,"A semisolid emulsion of either the oil-in-water or the water-in-oil type, ordinarily intended for topical use. (NCI)","Cream Dosage Form","CDASH CT 2025-03-28"
"C42933","C78418",,"Concomitant Medication Dose Form","GAS",,"Any elastic aeriform fluid in which the molecules are separated from one another and have free paths. (NCI)","Gas Dosage Form","CDASH CT 2025-03-28"
"C42934","C78418",,"Concomitant Medication Dose Form","GEL",,"A semisolid (1) dosage form that contains a gelling agent to provide stiffness to a solution or a colloidal dispersion (2). A gel may contain suspended particles. Note 1: A semisolid is not pourable; it does not flow or conform to its container at room temperature. It does not flow at low shear stress and generally exhibits plastic flow behavior. Note 2: A colloidal dispersion is a system in which particles of colloidal dimension (i.e., typically between 1 nm and 1 micrometer) are distributed uniformly throughout a liquid.","Gel Dosage Form","CDASH CT 2025-03-28"
"C42966","C78418",,"Concomitant Medication Dose Form","OINTMENT","oint","A suspension or emulsion, semisolid (1) dosage form, usually containing less than 20 percent water and volatiles (2) and greater than 50 percent hydrocarbons, waxes, or polyols as the vehicle. This dosage form is generally for external application to the skin or mucous membranes. Note 1: A semisolid is not pourable; it does not flow or conform to its container at room temperature. It does not flow at low shear stress and generally exhibits plastic flow behavior. Note 2: Percent water and volatiles are measured by a loss on drying test in which the sample is heated at 105 degrees C until constant weight is achieved.","Ointment Dosage Form","CDASH CT 2025-03-28"
"C42968","C78418",,"Concomitant Medication Dose Form","PATCH",,"A drug delivery system that often contains an adhesive backing that is usually applied to an external site on the body. Its ingredients either passively diffuse from, or are actively transported from, some portion of the patch. Depending upon the patch, the ingredients are either delivered to the outer surface of the body or into the body. A patch is sometimes synonymous with the terms Extended Release Film and System.","Patch Dosage Form","CDASH CT 2025-03-28"
"C42972","C78418",,"Concomitant Medication Dose Form","POWDER",,"An intimate mixture of dry, finely divided drugs and/or chemicals that may be intended for internal or external use. (NCI)","Powder Dosage Form","CDASH CT 2025-03-28"
"C42989","C78418",,"Concomitant Medication Dose Form","SPRAY",,"A liquid minutely divided as by a jet of air or steam. (NCI)","Spray Dosage Form","CDASH CT 2025-03-28"
"C42993","C78418",,"Concomitant Medication Dose Form","SUPPOSITORY","supp","A solid body of various weights and shapes, adapted for introduction into the rectal, vaginal, or urethral orifice of the human body; they usually melt, soften, or dissolve at body temperature.","Suppository Dosage Form","CDASH CT 2025-03-28"
"C42994","C78418",,"Concomitant Medication Dose Form","SUSPENSION","Ready to Use Suspension; susp","A dosage form that contains solid particles dispersed in a liquid vehicle.","Suspension Dosage Form","CDASH CT 2025-03-28"
"C42998","C78418",,"Concomitant Medication Dose Form","TABLET","tab","A solid dosage form containing medicinal substances with or without suitable diluents. (NCI)","Tablet Dosage Form","CDASH CT 2025-03-28"
"C78417",,"Yes","Concomitant Medication Dose Units","CMDOSU","Concomitant Medication Dose Units","A terminology subset of the CDISC SDTM Unit codelist created for CDASH Concomitant Medication Dose Units codelist. (NCI)","CDISC CDASH Concomitant Medication Dose Units Terminology","CDASH CT 2025-03-28"
"C48480","C78417",,"Concomitant Medication Dose Units","CAPSULE","cap; Capsule Dosing Unit","A dosing measurement based on the capsule unit.(NCI)","Capsule Dosing Unit","CDASH CT 2025-03-28"
"C48155","C78417",,"Concomitant Medication Dose Units","g","Gram","A unit of mass equal to one thousandth (1E-3) of a kilogram, the kilogram being the base unit of mass in the International System of Units (SI).","Gram","CDASH CT 2025-03-28"
"C48579","C78417",,"Concomitant Medication Dose Units","IU","IE; International Unit","The unitage assigned by the WHO (World Health Organization) to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization, to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.(NCI)","International Unit","CDASH CT 2025-03-28"
"C28253","C78417",,"Concomitant Medication Dose Units","mg","Milligram","A unit of mass equal to one thousandth (1E-3) of a gram.","Milligram","CDASH CT 2025-03-28"
"C28254","C78417",,"Concomitant Medication Dose Units","mL","cc; cm3; Cubic Centimeter; Milliliter","A unit of volume equal to one thousandth (1E-3) of a liter.","Milliliter","CDASH CT 2025-03-28"
"C65060","C78417",,"Concomitant Medication Dose Units","PUFF","Puff Dosing Unit","A means of delivering a defined dose of a therapeutic aerolized solution into either the upper or lower respiratory tract. Metered-dose inhalers or spray pumps are devices that provide a puff dose for delivery into either the oral or the nasal cavity.(NCI)","Puff Dosing Unit","CDASH CT 2025-03-28"
"C48542","C78417",,"Concomitant Medication Dose Units","TABLET","tab; Tablet Dosing Unit","A dosing measurement based on the tablet unit.(NCI)","Tablet Dosing Unit","CDASH CT 2025-03-28"
"C48152","C78417",,"Concomitant Medication Dose Units","ug","mcg; Microgram","A unit of mass equal to one millionth (1E-6) of a gram.","Microgram","CDASH CT 2025-03-28"
"C78419",,"Yes","Concomitant Medication Dosing Frequency per Interval","CMDOSFRQ","Concomitant Medication Dosing Frequency per Interval","A terminology subset of the CDISC SDTM Frequency codelist created for CDASH Concomitant Medication Dosing Frequency per Interval codelist. (NCI)","CDISC CDASH Concomitant Medication Dosing Frequency per Interval Terminology","CDASH CT 2025-03-28"
"C64496","C78419",,"Concomitant Medication Dosing Frequency per Interval","BID","BD; Twice per day","Two times per day, at unspecified times. (NCI)","Twice Daily","CDASH CT 2025-03-28"
"C64499","C78419",,"Concomitant Medication Dosing Frequency per Interval","PRN","As needed","As needed. (NCI)","As Needed","CDASH CT 2025-03-28"
"C25473","C78419",,"Concomitant Medication Dosing Frequency per Interval","QD","/day; Daily; Per Day","A rate of occurrences within a period of time equal to one day.","Daily","CDASH CT 2025-03-28"
"C64530","C78419",,"Concomitant Medication Dosing Frequency per Interval","QID","4 times per day","Four times per day. (NCI)","Four Times Daily","CDASH CT 2025-03-28"
"C64498","C78419",,"Concomitant Medication Dosing Frequency per Interval","QM","Every Month; Per Month","Every month. (NCI)","Monthly","CDASH CT 2025-03-28"
"C64525","C78419",,"Concomitant Medication Dosing Frequency per Interval","QOD","Every other day; Every Second Day; Every Two Days; Q2D","Every other day. (NCI)","Every Other Day","CDASH CT 2025-03-28"
"C64527","C78419",,"Concomitant Medication Dosing Frequency per Interval","TID","3 times per day","Three times per day. (NCI)","Three Times Daily","CDASH CT 2025-03-28"
"C17998","C78419",,"Concomitant Medication Dosing Frequency per Interval","UNKNOWN","U; UNK; Unknown","Not known, not observed, not recorded, or refused. (NCI)","Unknown","CDASH CT 2025-03-28"
"C78420",,"Yes","Concomitant Medication Route of Administration","CMROUTE","Concomitant Medication Route of Administration","A terminology subset of the CDISC SDTM Route codelist created for CDASH Concomitant Medication Route of Administration codelist. (NCI)","CDISC CDASH Concomitant Medication Route of Administration Terminology","CDASH CT 2025-03-28"
"C38250","C78420",,"Concomitant Medication Route of Administration","INTRALESIONAL",,"Administration within or introduced directly into a localized lesion. (FDA)","Intralesional Route of Administration","CDASH CT 2025-03-28"
"C28161","C78420",,"Concomitant Medication Route of Administration","INTRAMUSCULAR",,"Administration within a muscle. (FDA)","Intramuscular Route of Administration","CDASH CT 2025-03-28"
"C38255","C78420",,"Concomitant Medication Route of Administration","INTRAOCULAR",,"Administration within the eye. (FDA)","Intraocular Route of Administration","CDASH CT 2025-03-28"
"C38258","C78420",,"Concomitant Medication Route of Administration","INTRAPERITONEAL",,"Administration within the peritoneal cavity. (FDA)","Intraperitoneal Route of Administration","CDASH CT 2025-03-28"
"C38284","C78420",,"Concomitant Medication Route of Administration","NASAL","Intranasal Route of Administration","Administration to the nose; administered by way of the nose. (FDA)","Nasal Route of Administration","CDASH CT 2025-03-28"
"C38288","C78420",,"Concomitant Medication Route of Administration","ORAL","Intraoral Route of Administration; PO","Administration to or by way of the mouth. (FDA)","Oral Route of Administration","CDASH CT 2025-03-28"
"C38295","C78420",,"Concomitant Medication Route of Administration","RECTAL",,"Administration to the rectum. (FDA)","Rectal Route of Administration","CDASH CT 2025-03-28"
"C38216","C78420",,"Concomitant Medication Route of Administration","RESPIRATORY (INHALATION)",,"Administration within the respiratory tract by inhaling orally or nasally for local or systemic effect. (FDA)","Inhalation Route of Administration","CDASH CT 2025-03-28"
"C38299","C78420",,"Concomitant Medication Route of Administration","SUBCUTANEOUS","SC; Subdermal Route of Administration","Administration beneath the skin; hypodermic. Synonymous with the term SUBDERMAL. (FDA)","Subcutaneous Route of Administration","CDASH CT 2025-03-28"
"C38304","C78420",,"Concomitant Medication Route of Administration","TOPICAL","TOP","Administration to a particular spot on the outer surface of the body. The E2B term TRANSMAMMARY is a subset of the term TOPICAL. (FDA)","Topical Route of Administration","CDASH CT 2025-03-28"
"C38305","C78420",,"Concomitant Medication Route of Administration","TRANSDERMAL",,"Administration through the dermal layer of the skin to the systemic circulation by diffusion. (FDA)","Transdermal Route of Administration","CDASH CT 2025-03-28"
"C38313","C78420",,"Concomitant Medication Route of Administration","VAGINAL",,"Administration into the vagina. (FDA)","Vaginal Route of Administration","CDASH CT 2025-03-28"
"C78422",,"Yes","ECG Original Units","EGORRESU","ECG Original Units","A terminology subset of the CDISC SDTM Unit codelist created for CDASH ECG Original Units codelist. (NCI)","CDISC CDASH ECG Original Units Terminology","CDASH CT 2025-03-28"
"C49673","C78422",,"ECG Original Units","beats/min","Beats per Minute; BPM; bpm","The number of heartbeats measured per minute time. (NCI)","Beats per Minute","CDASH CT 2025-03-28"
"C41140","C78422",,"ECG Original Units","ms","Millisecond; ms; msec","A unit of time, which is equal to one thousandth of a second.(NCI)","Millisecond","CDASH CT 2025-03-28"
"C42535","C78422",,"ECG Original Units","s","sec; Second","The base unit of time in the International System of Units (SI) equal to the duration of 9,192,631,770 periods of the specified light radiation corresponding to the transition between the two hyperfine levels of the cesium 133 atom in its ground state at 0 K.","Second","CDASH CT 2025-03-28"
"C128690",,"Yes","Ethnicity As Collected","ETHNICC","Ethnicity As Collected","A terminology codelist relevant to the ethnicity of an individual as collected on the case report form.","CDISC SDTM Collected Ethnicity Terminology","CDASH CT 2025-03-28"
"C158197","C128690",,"Ethnicity As Collected","ACHANG","AC","A Chinese person from the Achang ethnic group.","Achang Chinese","CDASH CT 2025-03-28"
"C209542","C128690",,"Ethnicity As Collected","AFRO-LATINO","Black Latino","A person of African and Latino descent.","Afro-Latino","CDASH CT 2025-03-28"
"C17950","C128690",,"Ethnicity As Collected","ASHKENAZI JEW",,"A person of Ashkenazi Jewish descent.","Ashkenazi Jew","CDASH CT 2025-03-28"
"C158171","C128690",,"Ethnicity As Collected","BAI","BA","A Chinese person from the Bai ethnic group.","Bai Chinese","CDASH CT 2025-03-28"
"C158193","C128690",,"Ethnicity As Collected","BLANG","BL","A Chinese person from the Blang ethnic group.","Blang Chinese","CDASH CT 2025-03-28"
"C158203","C128690",,"Ethnicity As Collected","BONAN","BN","A Chinese person from the Bonan ethnic group.","Bonan Chinese","CDASH CT 2025-03-28"
"C158169","C128690",,"Ethnicity As Collected","BUYEI","BY","A Chinese person from the Buyei ethnic group.","Buyei Chinese","CDASH CT 2025-03-28"
"C67118","C128690",,"Ethnicity As Collected","CENTRAL AMERICAN",,"A person of Central American descent.","Central American","CDASH CT 2025-03-28"
"C158172","C128690",,"Ethnicity As Collected","CHOSEN","CS","A Chinese person from the Chosen ethnic group.","Chosen Chinese","CDASH CT 2025-03-28"
"C67115","C128690",,"Ethnicity As Collected","CUBAN AMERICAN",,"A person of Cuban and American descent.","Cuban or Cuban American","CDASH CT 2025-03-28"
"C107608","C128690",,"Ethnicity As Collected","CUBAN",,"A person of Cuban descent.","Cuban","CDASH CT 2025-03-28"
"C158176","C128690",,"Ethnicity As Collected","DAI","DA","A Chinese person from the Dai (including several different Tai-speaking groups historically referred to as Bai-yi) ethnic group.","Dai Chinese","CDASH CT 2025-03-28"
"C158191","C128690",,"Ethnicity As Collected","DAUR","DU","A Chinese person from the Daur ethnic group.","Daur Chinese","CDASH CT 2025-03-28"
"C158202","C128690",,"Ethnicity As Collected","DEANG","DE","A Chinese person from the Deang ethnic group.","Deang Chinese","CDASH CT 2025-03-28"
"C158209","C128690",,"Ethnicity As Collected","DERUNG","DR","A Chinese person from the Derung ethnic group.","Derung Chinese","CDASH CT 2025-03-28"
