"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C215479",,"Yes","Administrable Product Property Type Value Set Terminology","Administrable Product Property Type Value Set Terminology","Administrable Product Property Type Value Set Terminology","The terminology relevant to the administrable product property type value set.","CDISC DDF Administrable Product Property Type Value Set Terminology","DDF CT 2025-09-26"
"C45997","C215479",,"Administrable Product Property Type Value Set Terminology","pH","pH","The negative logarithm (base 10) of the concentration of hydronium ions, which is used as a measure of the acidity or alkalinity of a fluid.","pH","DDF CT 2025-09-26"
"C215483",,"Yes","Administrable Product Sourcing Value Set Terminology","Administrable Product Sourcing Value Set Terminology","Administrable Product Sourcing Value Set Terminology","The terminology relevant to the administrable product sourcing value set.","CDISC DDF Administrable Product Sourcing Value Set Terminology","DDF CT 2025-09-26"
"C215659","C215483",,"Administrable Product Sourcing Value Set Terminology","Centrally Sourced",,"An indication that the entity is obtained from a central source.","Centrally Sourced Indicator","DDF CT 2025-09-26"
"C215660","C215483",,"Administrable Product Sourcing Value Set Terminology","Locally Sourced",,"An indication that the entity is obtained from a local source.","Locally Sourced Indicator","DDF CT 2025-09-26"
"C215456",,"No","DDF Abbreviation Attribute Terminology","DDF Abbreviation Attribute Terminology","DDF Abbreviation Attribute Terminology","A terminology value set relevant to the attributes of the abbreviation.","CDISC DDF Abbreviation Attribute Terminology","DDF CT 2025-09-26"
"C215569","C215456",,"DDF Abbreviation Attribute Terminology","Abbreviation Long Name",,"The full literal representation of the abbreviation.","Abbreviation Long Name","DDF CT 2025-09-26"
"C215570","C215456",,"DDF Abbreviation Attribute Terminology","Abbreviation Notes",,"A brief written record relevant to the abbreviation.","Abbreviation Note","DDF CT 2025-09-26"
"C215487","C215456",,"DDF Abbreviation Attribute Terminology","Text Abbreviation Value",,"The literal value of an instance of unstructured text that is used as the abbreviation.","Text Abbreviation Value","DDF CT 2025-09-26"
"C188714",,"No","DDF Activity Attribute Terminology","DDF Activity Attribute Terminology","DDF Activity Attribute Terminology","A terminology value set relevant to the attributes of the activity.","CDISC DDF Activity Attribute Terminology","DDF CT 2025-09-26"
"C215519","C188714",,"DDF Activity Attribute Terminology","Activity Notes",,"A brief written record relevant to the activity.","Activity Note","DDF CT 2025-09-26"
"C70960","C188714",,"DDF Activity Attribute Terminology","Study Activity Description",,"The textual representation of the study activity.","Clinical Study Activity Description","DDF CT 2025-09-26"
"C207458","C188714",,"DDF Activity Attribute Terminology","Study Activity Label",,"The short descriptive designation for the study activity.","Study Activity Label","DDF CT 2025-09-26"
"C188842","C188714",,"DDF Activity Attribute Terminology","Study Activity Name",,"The literal identifier (i.e., distinctive designation) of the study activity.","Clinical Study Activity Name","DDF CT 2025-09-26"
"C201253",,"No","DDF Address Attribute Terminology","DDF Address Attribute Terminology","DDF Address Attribute Terminology","A terminology value set relevant to the attributes of the address.","CDISC DDF Address Attribute Terminology","DDF CT 2025-09-26"
"C201311","C201253",,"DDF Address Attribute Terminology","Address Full Text",,"A standardized representation of the complete set of components denoting the physical address of the person, business, building, or organization.","Address Full Text","DDF CT 2025-09-26"
"C25690","C201253",,"DDF Address Attribute Terminology","Address Line",,"The street name and number, building number, apartment or unit number, or post office box number where an entity is physically located.","Street Address","DDF CT 2025-09-26"
"C25160","C201253",,"DDF Address Attribute Terminology","City",,"A relatively large and/or densely populated area of human habitation with administrative or legal status that may be specified as a component of a postal address.","City","DDF CT 2025-09-26"
"C25464","C201253",,"DDF Address Attribute Terminology","Country",,"A sovereign nation occupying a distinct territory and ruled by an autonomous government.","Country","DDF CT 2025-09-26"
"C176229","C201253",,"DDF Address Attribute Terminology","District",,"An administrative or territorial division of a city, town, county, parish, state, country, or other locality based on a shared characteristic.","District","DDF CT 2025-09-26"
"C25621","C201253",,"DDF Address Attribute Terminology","Postal Code",,"An alphanumeric code assigned to a mail delivery area.","Postal Code","DDF CT 2025-09-26"
"C87194","C201253",,"DDF Address Attribute Terminology","State",,"A sub-division of a country that forms part of a federal union. States are usually, but not always, more autonomous than provinces and may have different laws from the central government.","State","DDF CT 2025-09-26"
"C215459",,"No","DDF Administrable Product Attribute Terminology","DDF Administrable Product Attribute Terminology","DDF Administrable Product Attribute Terminology","A terminology value set relevant to the attributes of the administrable product.","CDISC DDF Administrable Product Attribute Terminology","DDF CT 2025-09-26"
"C215574","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Definition Description",,"A narrative representation of the administrable product.","Administrable Product Definition Description","DDF CT 2025-09-26"
"C215575","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Definition Label",,"The short descriptive designation for the administrable product.","Administrable Product Definition Label","DDF CT 2025-09-26"
"C215573","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Definition Name",,"The literal identifier (i.e., distinctive designation) of the administrable product.","Administrable Product Definition Name","DDF CT 2025-09-26"
"C215576","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Dose Form",,"The physical form in which formulated ingredient(s) are presented in the administrable product.","Administrable Product Dose Form","DDF CT 2025-09-26"
"C215580","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Notes",,"A brief written record relevant to the administrable product.","Administrable Product Note","DDF CT 2025-09-26"
"C215577","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Pharmacologic Class",,"The pharmacological class of the administrable product.","Administrable Product Pharmacologic Class","DDF CT 2025-09-26"
"C215579","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Product Designation",,"An indication as to whether the administrable product is an investigational medicinal product or an auxiliary medicinal product.","Administrable Product Designation Indicator","DDF CT 2025-09-26"
"C215578","C215459",,"DDF Administrable Product Attribute Terminology","Administrable Product Sourcing",,"An indication as to whether the administrable product is obtained from a local or central source.","Administrable Product Sourcing Indicator","DDF CT 2025-09-26"
"C215460",,"No","DDF Administrable Product Identifier Attribute Terminology","DDF Administrable Product Identifier Attribute Terminology","DDF Administrable Product Identifier Attribute Terminology","A terminology value set relevant to the attributes of the administrable product identifier.","CDISC DDF Administrable Product Identifier Attribute Terminology","DDF CT 2025-09-26"
"C215581","C215460",,"DDF Administrable Product Identifier Attribute Terminology","Administrable Product Identifier Text",,"An instance of structured text that represents the administrable product.","Administrable Product Identifier Text","DDF CT 2025-09-26"
"C215461",,"No","DDF Administrable Product Property Attribute Terminology","DDF Administrable Product Property Attribute Terminology","DDF Administrable Product Property Attribute Terminology","A terminology value set relevant to the attributes of the administrable product property.","CDISC DDF Administrable Product Property Attribute Terminology","DDF CT 2025-09-26"
"C215582","C215461",,"DDF Administrable Product Property Attribute Terminology","Administrable Product Property Name",,"The literal identifier (i.e., distinctive designation) of the administrable product property.","Administrable Product Property Name","DDF CT 2025-09-26"
"C215584","C215461",,"DDF Administrable Product Property Attribute Terminology","Administrable Product Property Quantity Value",,"The numeric value associated with an administrable product property.","Administrable Product Property Quantity Value","DDF CT 2025-09-26"
"C215583","C215461",,"DDF Administrable Product Property Attribute Terminology","Administrable Product Property Text",,"An instance of structured text that represents the administrable product property.","Administrable Product Property Text","DDF CT 2025-09-26"
"C215585","C215461",,"DDF Administrable Product Property Attribute Terminology","Administrable Product Property Type",,"A characterization or classification of the administrable product property.","Administrable Product Property Type","DDF CT 2025-09-26"
"C207421",,"No","DDF Administration Attribute terminology","DDF Administration Attribute terminology","DDF Administration Attribute terminology","A terminology value set relevant to the attributes of the agent administration.","CDISC DDF Agent Administration Attribute Terminology","DDF CT 2025-09-26"
"C207463","C207421",,"DDF Administration Attribute terminology","Administration Description",,"A narrative representation for the administration of a product, agent, or therapy.","Agent Administration Description","DDF CT 2025-09-26"
"C167190","C207421",,"DDF Administration Attribute terminology","Administration Dose",,"The value representing the amount of an agent given to an individual at one time.","Dose Administered","DDF CT 2025-09-26"
"C69282","C207421",,"DDF Administration Attribute terminology","Administration Duration",,"The amount of time elapsed during the administration of an agent.","Duration of Administration","DDF CT 2025-09-26"
"C207464","C207421",,"DDF Administration Attribute terminology","Administration Label",,"The short descriptive designation for the administration of a product, agent, or therapy.","Agent Administration Label","DDF CT 2025-09-26"
"C207465","C207421",,"DDF Administration Attribute terminology","Administration Name",,"The literal identifier (i.e., distinctive designation) for the administration of a product, agent, or therapy.","Agent Administration Name","DDF CT 2025-09-26"
"C215544","C207421",,"DDF Administration Attribute terminology","Administration Notes",,"A brief written record relevant to the administration of the product, agent, or therapy.","Agent Administration Note","DDF CT 2025-09-26"
"C89081","C207421",,"DDF Administration Attribute terminology","Dosing Frequency","Dosing Frequency","The number of doses administered per a specific interval.","Dose Frequency","DDF CT 2025-09-26"
"C38114","C207421",,"DDF Administration Attribute terminology","Route of Administration","Route of Administration","The way in which a pharmaceutical product is taken into, or makes contact with, the body. (CDISC Glossary)","Route of Administration","DDF CT 2025-09-26"
"C215451",,"No","DDF Alias Code Attribute Terminology","DDF Alias Code Attribute Terminology","DDF Alias Code Attribute Terminology","A terminology value set relevant to the attributes of the alias code.","CDISC DDF Alias Code Attribute Terminology","DDF CT 2025-09-26"
"C215529","C215451",,"DDF Alias Code Attribute Terminology","Standard Code Aliases",,"Alternative combinations of symbols used to represent aliases or alternatives to the standard code.","Standard Code Alias","DDF CT 2025-09-26"
"C215528","C215451",,"DDF Alias Code Attribute Terminology","Standard Code",,"A combination of symbols that is used to represent the standard code.","Standard Code","DDF CT 2025-09-26"
"C188720",,"No","DDF Analysis Population Attribute Terminology","DDF Analysis Population Attribute Terminology","DDF Analysis Population Attribute Terminology","A terminology value set relevant to the attributes of the analysis population.","CDISC DDF Analysis Population Attribute Terminology","DDF CT 2025-09-26"
"C188854","C188720",,"DDF Analysis Population Attribute Terminology","Analysis Population Description",,"A narrative representation of the analysis population.","Analysis Population Description","DDF CT 2025-09-26"
"C207466","C188720",,"DDF Analysis Population Attribute Terminology","Analysis Population Label",,"The short descriptive designation for the analysis population.","Analysis Population Label","DDF CT 2025-09-26"
"C207467","C188720",,"DDF Analysis Population Attribute Terminology","Analysis Population Name",,"The literal identifier (i.e., distinctive designation) of the analysis population.","Analysis Population Name","DDF CT 2025-09-26"
"C215525","C188720",,"DDF Analysis Population Attribute Terminology","Analysis Population Notes",,"A brief written record relevant to the analysis population.","Analysis Population Note","DDF CT 2025-09-26"
"C207468","C188720",,"DDF Analysis Population Attribute Terminology","Analysis Population Text",,"An instance of unstructured text that represents the analysis population.","Analysis Population Text","DDF CT 2025-09-26"
"C215465",,"No","DDF Assigned Person Attribute Terminology","DDF Assigned Person Attribute Terminology","DDF Assigned Person Attribute Terminology","A terminology value set relevant to the attributes of the assigned person.","CDISC DDF Assigned Person Attribute Terminology","DDF CT 2025-09-26"
"C215597","C215465",,"DDF Assigned Person Attribute Terminology","Assigned Person Description",,"A narrative representation of the assigned person.","Assigned Person Description","DDF CT 2025-09-26"
"C215599","C215465",,"DDF Assigned Person Attribute Terminology","Assigned Person Job Title",,"An identifying designation related to the assigned person's occupation.","Assigned Person Job Title","DDF CT 2025-09-26"
"C215598","C215465",,"DDF Assigned Person Attribute Terminology","Assigned Person Label",,"The short descriptive designation for the assigned person.","Assigned Person Label","DDF CT 2025-09-26"
"C215596","C215465",,"DDF Assigned Person Attribute Terminology","Assigned Person Name",,"The literal identifier (i.e., distinctive designation) of the assigned person.","Assigned Person Name","DDF CT 2025-09-26"
"C216993","C215465",,"DDF Assigned Person Attribute Terminology","Assigned Person Person Name","Assigned Person Human Name","A word or group of words indicating the identity of an assigned person usually consisting of a first (personal) name and a last (family) name with an optional middle name. In some cultural traditions the family name comes first.","Assigned Person Person Name","DDF CT 2025-09-26"
"C201254",,"No","DDF Biomedical Concept Attribute Terminology","DDF Biomedical Concept Attribute Terminology","DDF Biomedical Concept Attribute Terminology","A terminology value set relevant to the attributes of the biomedical concept.","CDISC DDF Biomedical Concept Attribute Terminology","DDF CT 2025-09-26"
"C207469","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Concept Code",,"A concept unique identifier assigned to a biomedical concept that points to the meaning of that biomedical concept.","Biomedical Concept Code","DDF CT 2025-09-26"
"C207470","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Label",,"The short descriptive designation for the biomedical concept.","Biomedical Concept Label","DDF CT 2025-09-26"
"C201312","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Name",,"The literal identifier (i.e., distinctive designation) of the biomedical concept.","Biomedical Concept Name","DDF CT 2025-09-26"
"C215530","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Notes",,"A brief written record relevant to the biomedical concept.","Biomedical Concept Note","DDF CT 2025-09-26"
"C201313","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Reference",,"A citation to an authoritative source for a biomedical concept.","Biomedical Concept Reference","DDF CT 2025-09-26"
