"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C188714",,,"DDF Activity Attribute Terminology","DDF Activity Attribute Terminology","DDF Activity Attribute Terminology","A terminology value set relevant to the attributes of the activity.","CDISC DDF Activity Attribute Terminology","DDF CT 2024-03-29"
"C70960","C188714",,"DDF Activity Attribute Terminology","Clinical Study Activity Description",,"The textual representation of the study activity.","Clinical Study Activity Description","DDF CT 2024-03-29"
"C188842","C188714",,"DDF Activity Attribute Terminology","Clinical Study Activity Name",,"The literal identifier (i.e., distinctive designation) of the clinical study activity.","Clinical Study Activity Name","DDF CT 2024-03-29"
"C201308","C188714",,"DDF Activity Attribute Terminology","Study Activity is Conditional Reason",,"The explanation for why the study activity is subject to or dependent upon something else.","Study Activity is Conditional Reason","DDF CT 2024-03-29"
"C201307","C188714",,"DDF Activity Attribute Terminology","Study Activity is Conditional",,"An indication as to whether the study activity is subject to or dependent upon something else.","Study Activity is Conditional Indicator","DDF CT 2024-03-29"
"C201310","C188714",,"DDF Activity Attribute Terminology","Study Activity is Optional Reason",,"The explanation for why the study activity is available to be performed but is not obligatory.","Study Activity is Optional Reason","DDF CT 2024-03-29"
"C201309","C188714",,"DDF Activity Attribute Terminology","Study Activity is Optional",,"An indication as to whether the study activity is available to be performed but is not obligatory.","Study Activity is Optional Indicator","DDF CT 2024-03-29"
"C201253",,,"DDF Address Attribute Terminology","DDF Address Attribute Terminology","DDF Address Attribute Terminology","A terminology value set relevant to the attributes of the address.","CDISC DDF Address Attribute Terminology","DDF CT 2024-03-29"
"C201311","C201253",,"DDF Address Attribute Terminology","Address Full Text",,"A standardized representation of the complete set of components denoting the physical address of the person, business, building, or organization.","Address Full Text","DDF CT 2024-03-29"
"C25690","C201253",,"DDF Address Attribute Terminology","Address Line",,"The street name and number, building number, apartment or unit number, or post office box number where an entity is physically located.","Street Address","DDF CT 2024-03-29"
"C25160","C201253",,"DDF Address Attribute Terminology","City",,"A relatively large and/or densely populated area of human habitation with administrative or legal status that may be specified as a component of a postal address.","City","DDF CT 2024-03-29"
"C25464","C201253",,"DDF Address Attribute Terminology","Country",,"A sovereign nation occupying a distinct territory and ruled by an autonomous government.","Country","DDF CT 2024-03-29"
"C176229","C201253",,"DDF Address Attribute Terminology","District",,"An administrative or territorial division of a city, town, county, parish, state, country, or other locality based on a shared characteristic.","District","DDF CT 2024-03-29"
"C25621","C201253",,"DDF Address Attribute Terminology","Postal Code",,"An alphanumeric code assigned to a mail delivery area.","Postal Code","DDF CT 2024-03-29"
"C87194","C201253",,"DDF Address Attribute Terminology","State",,"A sub-division of a country that forms part of a federal union. States are usually, but not always, more autonomous than provinces and may have different laws from the central government.","State","DDF CT 2024-03-29"
"C188720",,,"DDF Analysis Population Attribute Terminology","DDF Analysis Population Attribute Terminology","DDF Analysis Population Attribute Terminology","A terminology value set relevant to the attributes of the analysis population.","CDISC DDF Analysis Population Attribute Terminology","DDF CT 2024-03-29"
"C188854","C188720",,"DDF Analysis Population Attribute Terminology","Target Study Population for Analysis Description",,"The textual representation of the study population for analysis.","Target Study Population for Analysis Description","DDF CT 2024-03-29"
"C201254",,,"DDF Biomedical Concept Attribute Terminology","DDF Biomedical Concept Attribute Terminology","DDF Biomedical Concept Attribute Terminology","A terminology value set relevant to the attributes of the biomedical concept.","CDISC DDF Biomedical Concept Attribute Terminology","DDF CT 2024-03-29"
"C201312","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Name",,"The literal identifier (i.e., distinctive designation) of the biomedical concept.","Biomedical Concept Name","DDF CT 2024-03-29"
"C201313","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Reference",,"A citation to an authoritative source for a biomedical concept.","Biomedical Concept Reference","DDF CT 2024-03-29"
"C201314","C201254",,"DDF Biomedical Concept Attribute Terminology","Biomedical Concept Synonym",,"A word or an expression that serves as a figurative, symbolic, or exact substitute for a biomedical concept, and which has the same meaning.","Biomedical Concept Synonym","DDF CT 2024-03-29"
"C201255",,,"DDF Biomedical Concept Category Attribute Terminology","DDF Biomedical Concept Category Attribute Terminology","DDF Biomedical Concept Category Attribute Terminology","A terminology value set relevant to the attributes of the biomedical concept category.","CDISC DDF Biomedical Concept Category Attribute Terminology","DDF CT 2024-03-29"
"C201315","C201255",,"DDF Biomedical Concept Category Attribute Terminology","Biomedical Concept Category Code",,"A symbol or combination of symbols which is assigned to the biomedical concept category.","Biomedical Concept Category Code","DDF CT 2024-03-29"
"C201316","C201255",,"DDF Biomedical Concept Category Attribute Terminology","Biomedical Concept Category Description",,"The textual representation of the biomedical concept category.","Biomedical Concept Category Description","DDF CT 2024-03-29"
"C201317","C201255",,"DDF Biomedical Concept Category Attribute Terminology","Biomedical Concept Category Name",,"The literal identifier (i.e., distinctive designation) of the biomedical concept category.","Biomedical Concept Category Name","DDF CT 2024-03-29"
"C201256",,,"DDF Biomedical Concept Property Attribute Terminology","DDF Biomedical Concept Property Attribute Terminology","DDF Biomedical Concept Property Attribute Terminology","A terminology value set relevant to the attributes of the biomedical concept property.","CDISC DDF Biomedical Concept Property Attribute Terminology","DDF CT 2024-03-29"
"C201318","C201256",,"DDF Biomedical Concept Property Attribute Terminology","Biomedical Concept Property Concept Code",,"A concept unique identifier assigned to a biomedical concept property that points to the meaning of that biomedical concept property.","Biomedical Concept Property Concept Code","DDF CT 2024-03-29"
"C202496","C201256",,"DDF Biomedical Concept Property Attribute Terminology","Biomedical Concept Property Enabled Indicator",,"An indication as to whether the biomedical concept property is activated for use within a given usage context for a biomedical concept.","Biomedical Concept Property Enabled Indicator","DDF CT 2024-03-29"
"C202494","C201256",,"DDF Biomedical Concept Property Attribute Terminology","Biomedical Concept Property Name",,"The literal identifier (i.e., distinctive designation) of the biomedical concept property.","Biomedical Concept Property Name","DDF CT 2024-03-29"
"C202495","C201256",,"DDF Biomedical Concept Property Attribute Terminology","Biomedical Concept Property Required Indicator",,"An indication as to whether the biomedical concept property is required.","Biomedical Concept Property Required Indicator","DDF CT 2024-03-29"
"C201319","C201256",,"DDF Biomedical Concept Property Attribute Terminology","Biomedical Concept Property Response Data Type",,"The structural format of the biomedical concept property response value. The datatype is carried in the attribute and influences the set of allowable values the attribute may assume. (After HL7)","Biomedical Concept Property Response Data Type","DDF CT 2024-03-29"
"C201257",,,"DDF Biomedical Concept Surrogate Attribute Terminology","DDF Biomedical Concept Surrogate Attribute Terminology","DDF Biomedical Concept Surrogate Attribute Terminology","A terminology value set relevant to the attributes of the biomedical concept surrogate.","CDISC DDF Biomedical Concept Surrogate Attribute Terminology","DDF CT 2024-03-29"
"C201320","C201257",,"DDF Biomedical Concept Surrogate Attribute Terminology","Biomedical Concept Surrogate Description",,"The textual representation of the biomedical concept surrogate.","Biomedical Concept Surrogate Description","DDF CT 2024-03-29"
"C201321","C201257",,"DDF Biomedical Concept Surrogate Attribute Terminology","Biomedical Concept Surrogate Reference",,"A citation to an authoritative source for a biomedical concept surrogate.","Biomedical Concept Surrogate Reference","DDF CT 2024-03-29"
"C188699",,,"DDF Clinical Study Attribute Terminology","DDF Clinical Study Attribute Terminology","DDF Clinical Study Attribute Terminology","A terminology value set relevant to the attributes of the clinical study.","CDISC DDF Clinical Study Attribute Terminology","DDF CT 2024-03-29"
"C201322","C188699",,"DDF Clinical Study Attribute Terminology","Business Therapeutic Areas",,"A therapeutic area classification based on the structure and operations of the business unit.","Business Therapeutic Areas","DDF CT 2024-03-29"
"C94108","C188699",,"DDF Clinical Study Attribute Terminology","Study Acronym","Trial Acronym","A word or words formed from the beginning letters or a combination of syllables and letters of a compound term, which identifies a clinical study.","Study Protocol Version Acronym","DDF CT 2024-03-29"
"C94122","C188699",,"DDF Clinical Study Attribute Terminology","Study Rationale","Study Purpose","A statement describing the overall rationale of the study. This field describes the contribution of this study to product development, i.e., what knowledge is being contributed from the conduct of this study.","Study Protocol Version Purpose Statement","DDF CT 2024-03-29"
"C49802","C188699",,"DDF Clinical Study Attribute Terminology","Study Title","Official Study Title; Study Title; Trial Title","The sponsor-defined name of the clinical study.","Trial Title","DDF CT 2024-03-29"
"C142175","C188699",,"DDF Clinical Study Attribute Terminology","Study Type Classification","Study Type; Study Type Classification","The nature of the investigation for which study information is being collected. (After clinicaltrials.gov)","Study Type","DDF CT 2024-03-29"
"C188816","C188699",,"DDF Clinical Study Attribute Terminology","Study Version",,"A plan at a particular point in time for a study.","Study Version","DDF CT 2024-03-29"
"C48281","C188699",,"DDF Clinical Study Attribute Terminology","Trial Phase","Trial Phase; Trial Phase Classification","A step in the clinical research and development of a therapy from initial clinical trials to post-approval studies. NOTE: Clinical trials are generally categorized into four (sometimes five) phases. A therapeutic intervention may be evaluated in two or more phases simultaneously in different trials, and some trials may overlap two different phases. [21 CFR section 312.21; After ICH Topic E8 NOTE FOR GUIDANCE ON GENERAL CONSIDERATIONS FOR CLINICAL TRIALS, CPMP/ICH/291/95 March 1998]","Trial Phase","DDF CT 2024-03-29"
"C188722",,,"DDF Code Attribute Terminology","DDF Code Attribute Terminology","DDF Code Attribute Terminology","A terminology value set relevant to the attributes of the code.","CDISC DDF Code Attribute Terminology","DDF CT 2024-03-29"
"C188859","C188722",,"DDF Code Attribute Terminology","Code System Name",,"The literal identifier (i.e., distinctive designation) of the system used to assign and/or manage codes.","Code System Name","DDF CT 2024-03-29"
"C188868","C188722",,"DDF Code Attribute Terminology","Code System Version",,"The version of the code system.","Coding System Version","DDF CT 2024-03-29"
"C188858","C188722",,"DDF Code Attribute Terminology","Code Value",,"The literal value of a code.","Code Value","DDF CT 2024-03-29"
"C188861","C188722",,"DDF Code Attribute Terminology","Decode",,"Standardized or dictionary-derived human readable text associated with a code.","Decode Text","DDF CT 2024-03-29"
"C188713",,,"DDF Encounter Attribute Terminology","DDF Encounter Attribute Terminology","DDF Encounter Attribute Terminology","A terminology value set relevant to the attributes of the encounter.","CDISC DDF Encounter Attribute Terminology","DDF CT 2024-03-29"
"C188836","C188713",,"DDF Encounter Attribute Terminology","Clinical Encounter Description",,"The textual representation of the protocol-defined clinical encounter.","Clinical Encounter Description","DDF CT 2024-03-29"
"C171010","C188713",,"DDF Encounter Attribute Terminology","Clinical Encounter Name",,"The literal identifier (i.e., distinctive designation) for a protocol-defined clinical encounter.","Clinical Encounter Name","DDF CT 2024-03-29"
"C188839","C188713",,"DDF Encounter Attribute Terminology","Clinical Encounter Type",,"A characterization or classification of contact between subject/patient and healthcare practitioner/researcher, during which an assessment or activity is performed.","Clinical Encounter Type","DDF CT 2024-03-29"
"C188841","C188713",,"DDF Encounter Attribute Terminology","Contact Mode",,"The means by which an interaction occurs between the subject/participant and person or entity (e.g., a device).","Contact Mode","DDF CT 2024-03-29"
"C188840","C188713",,"DDF Encounter Attribute Terminology","Environmental Setting",,"The environment/setting where the event, intervention, or finding occurred.","Environmental Setting","DDF CT 2024-03-29"
"C188838","C188713",,"DDF Encounter Attribute Terminology","Next Encounter Identifier",,"A system identifier assigned to a clinical encounter that occurs immediately after the current clinical encounter.","Next Clinical Encounter Identifier","DDF CT 2024-03-29"
"C188837","C188713",,"DDF Encounter Attribute Terminology","Previous Encounter Identifier",,"A system identifier assigned to a clinical encounter that occurs immediately prior to the current clinical encounter.","Previous Clinical Encounter Identifier","DDF CT 2024-03-29"
"C188708",,,"DDF Endpoint Attribute Terminology","DDF Endpoint Attribute Terminology","DDF Endpoint Attribute Terminology","A terminology value set relevant to the attributes of the endpoint.","CDISC DDF Endpoint Attribute Terminology","DDF CT 2024-03-29"
"C188824","C188708",,"DDF Endpoint Attribute Terminology","Study Endpoint Description",,"The textual representation of the study endpoint.","Study Endpoint Description","DDF CT 2024-03-29"
"C188826","C188708",,"DDF Endpoint Attribute Terminology","Study Endpoint Level",,"A characterization or classification of the study endpoint that determines its category of importance relative to other study endpoints.","Study Endpoint Level","DDF CT 2024-03-29"
"C188825","C188708",,"DDF Endpoint Attribute Terminology","Study Endpoint Purpose Description",,"The textual representation of the study endpoint purpose.","Study Endpoint Purpose Description","DDF CT 2024-03-29"
"C188698",,,"DDF Entity Terminology","DDF Entity Terminology","DDF Entity Terminology","A terminology value set relevant to the entities within the CDISC digital data flow (DDF) model.","CDISC DDF Entities Terminology","DDF CT 2024-03-29"
"C25407","C188698",,"DDF Entity Terminology","Address",,"A standardized representation of the location of a person, business, building, or organization. (NCI)","Address","DDF CT 2024-03-29"
"C201344","C188698",,"DDF Entity Terminology","Alias Code",,"An alternative symbol or combination of symbols which is assigned to the members of a collection.","Alias Code","DDF CT 2024-03-29"
"C201346","C188698",,"DDF Entity Terminology","Biomedical Concept Category",,"A grouping of biomedical concepts based on some commonality or by user defined characteristics.","Biomedical Concept Category","DDF CT 2024-03-29"
"C202493","C188698",,"DDF Entity Terminology","Biomedical Concept Property",,"A characteristic from a set of characteristics used to define a biomedical concept.","Biomedical Concept Property","DDF CT 2024-03-29"
"C201345","C188698",,"DDF Entity Terminology","Biomedical Concept",,"A unit of biomedical knowledge created from a unique combination of characteristics that include implementation details like variables and terminologies, used as building blocks for standardized, hierarchically structured clinical research information.","Biomedical Concept","DDF CT 2024-03-29"
"C142427","C188698",,"DDF Entity Terminology","Clinical Encounter",,"Contact between subject/patient and healthcare practitioner/researcher, during which an assessment or activity is performed. Contact may be physical or virtual.","Clinical Encounter","DDF CT 2024-03-29"
"C15206","C188698",,"DDF Entity Terminology","Clinical Study",,"A clinical study involves research using human volunteers (also called participants) that is intended to add to medical knowledge. There are two main types of clinical studies: clinical trials (also called interventional studies) and observational studies. [ClinicalTrials.gov] See also clinical trial. (CDISC Glossary)","Clinical Study","DDF CT 2024-03-29"
"C25162","C188698",,"DDF Entity Terminology","Code",,"A symbol or combination of symbols which is assigned to the members of a collection.","Code","DDF CT 2024-03-29"
"C41184","C188698",,"DDF Entity Terminology","Disease/Condition Indication",,"A health problem or disease that is identified as likely to be benefited by a therapy being studied in clinical trials.","Indication","DDF CT 2024-03-29"
"C188813","C188698",,"DDF Entity Terminology","Estimand",,"A precise description of the treatment effect reflecting the clinical question posed by a given clinical trial objective. It summarises at a population level what the outcomes would be in the same patients under different treatment conditions being compared. (ICH E9 R1 Addendum)","Estimand","DDF CT 2024-03-29"
"C41161","C188698",,"DDF Entity Terminology","Experimental Intervention","Investigational Interventional; Investigational Therapy or Treatment","The drug, device, therapy, or process under investigation in a clinical study that is believed to have an effect on outcomes of interest in a study (e.g., health-related quality of life, efficacy, safety, pharmacoeconomics). [After https://grants.nih.gov/grants/policy/faq_clinical_trial_definition.htm#5224]","Protocol Agent","DDF CT 2024-03-29"
"C188815","C188698",,"DDF Entity Terminology","Intercurrent Event",,"An event(s) occurring after treatment initiation that affects either the interpretation or the existence of the measurements associated with the clinical question of interest. (ICH E9 Addendum on Estimands)","Intercurrent Event","DDF CT 2024-03-29"
"C19711","C188698",,"DDF Entity Terminology","Organization",,"A formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose. (BRIDG)","Professional Organization or Group","DDF CT 2024-03-29"
"C98769","C188698",,"DDF Entity Terminology","Procedure","Medical Procedure","Any activity performed by manual and/or instrumental means for the purpose of diagnosis, assessment, therapy, prevention, or palliative care.","Physical Medical Procedure","DDF CT 2024-03-29"
"C201347","C188698",,"DDF Entity Terminology","Response Code",,"A symbol or combination of symbols representing the response to the question.","Response Code","DDF CT 2024-03-29"
"C201349","C188698",,"DDF Entity Terminology","Schedule Timeline Exit",,"To go out of or leave the schedule timeline.","Schedule Timeline Exit","DDF CT 2024-03-29"
"C201348","C188698",,"DDF Entity Terminology","Schedule Timeline",,"A chronological schedule of planned temporal events.","Schedule Timeline","DDF CT 2024-03-29"
"C201350","C188698",,"DDF Entity Terminology","Scheduled Activity Instance",,"A scheduled occurrence of an activity event.","Scheduled Activity Instance","DDF CT 2024-03-29"
"C201351","C188698",,"DDF Entity Terminology","Scheduled Decision Instance",,"A scheduled occurrence of a decision event.","Scheduled Decision Instance","DDF CT 2024-03-29"
"C201299","C188698",,"DDF Entity Terminology","Scheduled Instance",,"A scheduled occurrence of a temporal event.","Scheduled Instance","DDF CT 2024-03-29"
"C71473","C188698",,"DDF Entity Terminology","Study Activity",,"An action, undertaking, or event, which is anticipated to be performed or observed, or was performed or observed, according to the study protocol during the execution of the study.","Study Activity","DDF CT 2024-03-29"
"C174447","C188698",,"DDF Entity Terminology","Study Arm","Arm","A planned pathway assigned to the subject as they progress through the study, usually referred to by a name that reflects one or more treatments, exposures, and/or controls included in the path.","Study Arm","DDF CT 2024-03-29"
"C188810","C188698",,"DDF Entity Terminology","Study Design Cell",,"A partitioning of a study arm into individual pieces, which are associated with an epoch and any number of sequential elements within that epoch.","Study Design Cell","DDF CT 2024-03-29"
"C142735","C188698",,"DDF Entity Terminology","Study Design Element",,"A basic building block for time within a clinical study comprising the following characteristics: a description of what happens to the subject during the element; a definition of the start of the element; a rule for ending the element.","Trial Design Element","DDF CT 2024-03-29"
"C15320","C188698",,"DDF Entity Terminology","Study Design",,"A plan detailing how a study will be performed in order to represent the phenomenon under examination, to answer the research questions that have been asked, and informing the statistical approach.","Study Design","DDF CT 2024-03-29"
"C25212","C188698",,"DDF Entity Terminology","Study Endpoint",,"A defined variable intended to reflect an outcome of interest that is statistically analyzed to address a particular research question. NOTE: A precise definition of an endpoint typically specifies the type of assessments made, the timing of those assessments, the assessment tools used, and possibly other details, as applicable, such as how multiple assessments within an individual are to be combined. [After BEST Resource] (CDISC Glossary)","End Point","DDF CT 2024-03-29"
"C71738","C188698",,"DDF Entity Terminology","Study Epoch",,"A named time period defined in the protocol, wherein a study activity is specified and unchanging throughout the interval, to support a study-specific purpose.","Clinical Trial Epoch","DDF CT 2024-03-29"
"C83082","C188698",,"DDF Entity Terminology","Study Identifier",,"A sequence of characters used to identify, name, or characterize the study.","Study Identifier","DDF CT 2024-03-29"
"C142450","C188698",,"DDF Entity Terminology","Study Objective",,"The reason for performing a study in terms of the scientific questions to be answered by the analysis of data collected during the study.","Clinical Trial Objective","DDF CT 2024-03-29"
"C93490","C188698",,"DDF Entity Terminology","Study Protocol Version",,"A plan at a particular point in time for a formal investigation to assess the utility, impact, pharmacological, physiological, and/or psychological effects of a particular treatment, procedure, drug, device, biologic, food product, cosmetic, care plan, or subject characteristic. (BRIDG)","Study Protocol Version","DDF CT 2024-03-29"
"C188814","C188698",,"DDF Entity Terminology","Target Study Population for Analysis",,"A target study population on which an analysis is performed. These may be represented by the entire study population, a subgroup defined by a particular characteristic measured at baseline, or a principal stratum defined by the occurrence (or non-occurrence, depending on context) of a specific intercurrent event. (ICH E9 R1 Addendum)","Target Study Population for Analysis","DDF CT 2024-03-29"
"C142728","C188698",,"DDF Entity Terminology","Target Study Population","Target Population","The population within the general population for which the study results can be generalized.","Target Study Population","DDF CT 2024-03-29"
"C80484","C188698",,"DDF Entity Terminology","Timing",,"The chronological relationship between temporal events.","Timing","DDF CT 2024-03-29"
"C82567","C188698",,"DDF Entity Terminology","Transition Rule",,"A guide that governs the allocation of subjects to operational options at a discrete decision point or branch (e.g., assignment to a particular arm, discontinuation) within a clinical trial plan.","Transition Rule","DDF CT 2024-03-29"
"C188719",,,"DDF Estimand Attribute Terminology","DDF Estimand Attribute Terminology","DDF Estimand Attribute Terminology","A terminology value set relevant to the attributes of the estimand.","CDISC DDF Estimand Attribute Terminology","DDF CT 2024-03-29"
"C188853","C188719",,"DDF Estimand Attribute Terminology","Population-Level Summary",,"A synopsis of the clinical endpoint of interest within the analysis target study population.","Population-Level Summary","DDF CT 2024-03-29"
"C201323","C188719",,"DDF Estimand Attribute Terminology","Variable of Interest",,"The variable identified as the focus for developing the estimand.","Variable of Interest for the Estimand","DDF CT 2024-03-29"
"C188705",,,"DDF Indication Attribute Terminology","DDF Indication Attribute Terminology","DDF Indication Attribute Terminology","A terminology value set relevant to the attributes of the disease indication.","CDISC DDF Indication Attribute Terminology","DDF CT 2024-03-29"
"C188822","C188705",,"DDF Indication Attribute Terminology","Disease Indication Code",,"A short sequence of characters that represents the disease indication.","Disease Indication Code","DDF CT 2024-03-29"
"C112038","C188705",,"DDF Indication Attribute Terminology","Trial Disease/Condition Indication Description","Indication for Use; Trial Disease/Condition Indication; Trial Disease/Condition Indication Description","The textual representation of the condition, disease or disorder that the clinical trial is intended to investigate or address.","Trial Indication","DDF CT 2024-03-29"
"C188721",,,"DDF Intercurrent Event Attribute Terminology","DDF Intercurrent Event Attribute Terminology","DDF Intercurrent Event Attribute Terminology","A terminology value set relevant to the attributes of the intercurrent event.","CDISC DDF Intercurrent Event Attribute Terminology","DDF CT 2024-03-29"
"C188856","C188721",,"DDF Intercurrent Event Attribute Terminology","Intercurrent Event Description",,"The textual representation of the intercurrent event.","Intercurrent Event Description","DDF CT 2024-03-29"
"C188855","C188721",,"DDF Intercurrent Event Attribute Terminology","Intercurrent Event Name",,"The literal identifier (i.e., distinctive designation) of the intercurrent event.","Intercurrent Event Name","DDF CT 2024-03-29"
"C188857","C188721",,"DDF Intercurrent Event Attribute Terminology","Intercurrent Event Strategy",,"A textual description of the planned strategy to manage and/or mitigate intercurrent events.","Intercurrent Event Strategy","DDF CT 2024-03-29"
"C188704",,,"DDF Investigational Interventions Attribute Terminology","DDF Investigational Interventions Attribute Terminology","DDF Investigational Interventions Attribute Terminology","A terminology value set relevant to the attributes of the investigational interventions.","CDISC DDF Investigational Interventions Attribute Terminology","DDF CT 2024-03-29"
"C177931","C188704",,"DDF Investigational Interventions Attribute Terminology","Intervention Description",,"The textual representation of the study intervention.","Intervention Description","DDF CT 2024-03-29"
"C188821","C188704",,"DDF Investigational Interventions Attribute Terminology","Investigational Intervention Code",,"A short sequence of characters that represents the investigational intervention.","Investigational Intervention Code","DDF CT 2024-03-29"
"C188707",,,"DDF Objective Attribute Terminology","DDF Objective Attribute Terminology","DDF Objective Attribute Terminology","A terminology value set relevant to the attributes of the objective.","CDISC DDF Objective Attribute Terminology","DDF CT 2024-03-29"
"C94090","C188707",,"DDF Objective Attribute Terminology","Study Objective Description",,"The textual representation of the study objective. (BRIDG)","Study Objective Description","DDF CT 2024-03-29"
"C188823","C188707",,"DDF Objective Attribute Terminology","Study Objective Level",,"A characterization or classification of the study objective that determines its category of importance relative to other study objectives.","Study Objective Level","DDF CT 2024-03-29"
"C188702",,,"DDF Organization Attribute Terminology","DDF Organization Attribute Terminology","DDF Organization Attribute Terminology","A terminology value set relevant to the attributes of the organization.","CDISC DDF Organization Attribute Terminology","DDF CT 2024-03-29"
"C188819","C188702",,"DDF Organization Attribute Terminology","Identifier Provider Organization Name",,"The name of the organization that provides the identifier for the entity.","Identifier Provider Organization Name","DDF CT 2024-03-29"
"C93401","C188702",,"DDF Organization Attribute Terminology","Organization Identifier",,"A unique symbol that establishes identity of the organization. (BRIDG)","Organization Identifier","DDF CT 2024-03-29"
"C93874","C188702",,"DDF Organization Attribute Terminology","Organization Name",,"A non-unique textual identifier for the organization. (BRIDG)","Organization Name","DDF CT 2024-03-29"
"C188820","C188702",,"DDF Organization Attribute Terminology","Organization Type",,"A characterization or classification of the formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose.","Organization Type","DDF CT 2024-03-29"
"C188716",,,"DDF Procedure Attribute Terminology","DDF Procedure Attribute Terminology","DDF Procedure Attribute Terminology","A terminology value set relevant to the attributes of the procedure.","CDISC DDF Procedure Attribute Terminology","DDF CT 2024-03-29"
"C154626","C188716",,"DDF Procedure Attribute Terminology","Procedure Code",,"A symbol or combination of symbols which is assigned to medical procedure.","Procedure Code","DDF CT 2024-03-29"
"C201324","C188716",,"DDF Procedure Attribute Terminology","Procedure Description",,"The textual representation of the procedure.","Procedure Description","DDF CT 2024-03-29"
"C201325","C188716",,"DDF Procedure Attribute Terminology","Procedure Name",,"The literal identifier (i.e., distinctive designation) of the procedure.","Procedure Name","DDF CT 2024-03-29"
"C188848","C188716",,"DDF Procedure Attribute Terminology","Procedure Type",,"A characterization or classification of the study procedure.","Study Procedure Type","DDF CT 2024-03-29"
"C201327","C188716",,"DDF Procedure Attribute Terminology","Study Procedure is Conditional Reason",,"The explanation for why the study procedure is subject to or dependent upon something else.","Study Procedure is Conditional Reason","DDF CT 2024-03-29"
"C201326","C188716",,"DDF Procedure Attribute Terminology","Study Procedure is Conditional",,"An indication as to whether the study procedure is subject to or dependent upon something else.","Study Procedure is Conditional Indicator","DDF CT 2024-03-29"
"C201329","C188716",,"DDF Procedure Attribute Terminology","Study Procedure is Optional Reason",,"The explanation for why the study procedure is available to be performed but is not obligatory.","Study Procedure is Optional Reason","DDF CT 2024-03-29"
"C201328","C188716",,"DDF Procedure Attribute Terminology","Study Procedure is Optional",,"An indication as to whether the study procedure is available to be performed but is not obligatory.","Study Procedure is Optional Indicator","DDF CT 2024-03-29"
"C201258",,,"DDF Response Code Attribute Terminology","DDF Response Code Attribute Terminology","DDF Response Code Attribute Terminology","A terminology value set relevant to the attributes of the response code.","CDISC DDF Response Code Attribute Terminology","DDF CT 2024-03-29"
"C25162","C201258",,"DDF Response Code Attribute Terminology","Code",,"A symbol or combination of symbols which is assigned to the members of a collection.","Code","DDF CT 2024-03-29"
