"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C179587",,,"Biological Sample Attribute Terminology","Biological Sample Attribute Terminology","Biological Sample Attribute Terminology","A terminology value set relevant to the attributes of the biological sample.","CDISC Protocol Biological Sample Attribute Terminology","Protocol CT 2024-03-29"
"C179744","C179587",,"Biological Sample Attribute Terminology","Biological Sample Accountability",,"The activities describing the documentation of the storage, inventory tracking, and disposition of the biological sample.","Biospecimen Handling Accountability Record","Protocol CT 2024-03-29"
"C70700","C179587",,"Biological Sample Attribute Terminology","Biological Sample Collection Method",,"A description of the methodology by which biological material is obtained from a subject.","Biospecimen Collection Method","Protocol CT 2024-03-29"
"C178869","C179587",,"Biological Sample Attribute Terminology","Biological Sample Collection Timing",,"A description of the timing for the collection of a biological sample, in relation to a study-specific event or time period.","Biospecimen Collection Time","Protocol CT 2024-03-29"
"C70945","C179587",,"Biological Sample Attribute Terminology","Biological Sample Collection",,"The activities describing biological sample collection, such as specimen type, timing and methodology.","Biospecimen Collection","Protocol CT 2024-03-29"
"C179745","C179587",,"Biological Sample Attribute Terminology","Biological Sample Handling","Biospecimen Handling; Handling of Biological Samples; Handling of Biological Specimens","A description of the management of biological sample handling, including methods of collection, processing, shipping, and storage.","Biospecimen Handling","Protocol CT 2024-03-29"
"C179746","C179587",,"Biological Sample Attribute Terminology","Biological Sample Preparation",,"The activities describing how the biological sample is made ready for storage, processing, and/or analysis.","Biospecimen Preparation","Protocol CT 2024-03-29"
"C181231","C179587",,"Biological Sample Attribute Terminology","Biological Sample Retention","Biospecimen Retention","A textual description as to whether and/or how biological samples are retained for research purposes.","Biological Sample Retention Description","Protocol CT 2024-03-29"
"C179747","C179587",,"Biological Sample Attribute Terminology","Biological Sample Shipping","Biological Sample Shipment; Biological Sample Transport","The activities describing the logistical considerations for transporting a biological sample from the sender to the receiver.","Biospecimen Shipping","Protocol CT 2024-03-29"
"C179748","C179587",,"Biological Sample Attribute Terminology","Biological Sample Storage",,"The activities describing the physical or environmental conditions under which the biological sample is maintained.","Biospecimen Storage","Protocol CT 2024-03-29"
