"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C203912",,,"MRCT Center Clinical Research Glossary","MRCT Center Clinical Research Glossary","MRCT Center Clinical Research Glossary","The terminology relevant to the plain language glossary of the Multi-Regional Clinical Trial (MRCT) Center of Brigham and Women's Hospital and Harvard.","CDISC MRCT Center Clinical Research Glossary","MRCT CT 2025-09-26"
"C203914","C203912",,"MRCT Center Clinical Research Glossary","additive effect",,"The combined effect when two or more things are used together. (https://mrctcenter.org/glossaryterm/additive-effect/)","Additive Effect","MRCT CT 2025-09-26"
"C25729","C203912",,"MRCT Center Clinical Research Glossary","adherence",,"Following the study directions and requirements. (https://mrctcenter.org/glossaryterm/adherence/)","Adherence","MRCT CT 2025-09-26"
"C41331","C203912",,"MRCT Center Clinical Research Glossary","adverse event",,"Any health problem that happens during a study. (https://mrctcenter.org/glossaryterm/adverse-event/)","Adverse Event","MRCT CT 2025-09-26"
"C41332","C203912",,"MRCT Center Clinical Research Glossary","adverse reaction",,"A health problem that happens during a study and is reported as possibly caused by the study treatment. (https://mrctcenter.org/glossaryterm/adverse-reaction/)","Adverse Reaction","MRCT CT 2025-09-26"
"C142392","C203912",,"MRCT Center Clinical Research Glossary","anonymize",,"Remove, change, or hide personal details to protect participant privacy. (https://mrctcenter.org/glossaryterm/anonymize/)","Anonymization","MRCT CT 2025-09-26"
"C16295","C203912",,"MRCT Center Clinical Research Glossary","antibody",,"A protein made by the body to fight an illness or infection. (https://mrctcenter.org/glossaryterm/antibody/)","Antibody","MRCT CT 2025-09-26"
"C268","C203912",,"MRCT Center Clinical Research Glossary","antigen",,"A substance that causes the body's immune system to react. (https://mrctcenter.org/glossaryterm/antigen/)","Antigen","MRCT CT 2025-09-26"
"C70800","C203912",,"MRCT Center Clinical Research Glossary","approval (IRB/ethics)",,"Official decision by an ethics committee to allow a research study involving human participants to begin. (https://mrctcenter.org/glossaryterm/approval-irb-ethics/)","Institutional Review Board Approval","MRCT CT 2025-09-26"
"C15538","C203912",,"MRCT Center Clinical Research Glossary","arm",,"A group of participants in a research study who all receive the same study treatment. (https://mrctcenter.org/glossaryterm/arm/)","Protocol Treatment Arm","MRCT CT 2025-09-26"
"C203934","C203912",,"MRCT Center Clinical Research Glossary","assent form",,"A document used to explain the details of a research study to children or people who are unable to give legal consent. (https://mrctcenter.org/glossaryterm/assent-form/)","Assent Form","MRCT CT 2025-09-26"
"C161418","C203912",,"MRCT Center Clinical Research Glossary","assent",,"Willingness to take part in a research study by someone who is not able to give legal consent. (https://mrctcenter.org/glossaryterm/assent/)","Informed Assent","MRCT CT 2025-09-26"
"C25217","C203912",,"MRCT Center Clinical Research Glossary","assessment",,"Information that is collected and analyzed from a study participant. (https://mrctcenter.org/glossaryterm/assessment/)","Assessment","MRCT CT 2025-09-26"
"C142400","C203912",,"MRCT Center Clinical Research Glossary","baseline assessment",,"Information that is collected and analyzed from a study participant at the start of a study. (https://mrctcenter.org/glossaryterm/baseline-assessment/)","Baseline Assessment","MRCT CT 2025-09-26"
"C209461","C203912",,"MRCT Center Clinical Research Glossary","basket trial",,"A research study that tests one study treatment for different diseases and conditions. (https://mrctcenter.org/glossaryterm/basket-trial/)","Basket Trial","MRCT CT 2025-09-26"
"C203915","C203912",,"MRCT Center Clinical Research Glossary","benefits of a research study",,"The ways a research study might help the participant and others. (https://mrctcenter.org/glossaryterm/benefits-of-a-research-study/)","Benefits of a Research Study","MRCT CT 2025-09-26"
"C28232","C203912",,"MRCT Center Clinical Research Glossary","bias (research)",,"Flaws in the way a study is designed, done, or analyzed that lead to one conclusion being favored over another. (https://mrctcenter.org/glossaryterm/research-bias/)","Bias","MRCT CT 2025-09-26"
"C179748","C203912",,"MRCT Center Clinical Research Glossary","biobanking (research)",,"Storing biological samples from participants for future research. (https://mrctcenter.org/glossaryterm/biobanking-research/)","Biospecimen Storage","MRCT CT 2025-09-26"
"C16342","C203912",,"MRCT Center Clinical Research Glossary","biomarker",,"Something in the body that is measured as an indicator of personal health or disease. (https://mrctcenter.org/glossaryterm/biomarker/)","Biomarker","MRCT CT 2025-09-26"
"C37932","C203912",,"MRCT Center Clinical Research Glossary","birth control",,"A way to prevent pregnancy. (https://mrctcenter.org/glossaryterm/birth-control/)","Contraception","MRCT CT 2025-09-26"
"C49068","C203912",,"MRCT Center Clinical Research Glossary","blinding",,"A way to keep participants, and often study staff, from knowing which study treatment a participant is assigned. (https://mrctcenter.org/glossaryterm/blinding/)","Blinded","MRCT CT 2025-09-26"
"C28221","C203912",,"MRCT Center Clinical Research Glossary","blood draw",,"Taking a sample of blood by using a needle. (https://mrctcenter.org/glossaryterm/blood-draw/)","Phlebotomy","MRCT CT 2025-09-26"
"C15197","C203912",,"MRCT Center Clinical Research Glossary","case-control study",,"Research that uses existing data to compare a group of participants with a disease or trait to a group without the same disease or trait. (https://mrctcenter.org/glossaryterm/case-control-study/)","Case-Control Study","MRCT CT 2025-09-26"
"C142422","C203912",,"MRCT Center Clinical Research Glossary","clinical benefit",,"A health change that researchers measure to show that the study treatment helps the study participants. (https://mrctcenter.org/glossaryterm/clinical-benefit/)","Clinical Benefit","MRCT CT 2025-09-26"
"C51811","C203912",,"MRCT Center Clinical Research Glossary","Clinical Research Coordinator (CRC)",,"A research staff member who helps manage studies. (https://mrctcenter.org/glossaryterm/clinical-research-coordinator-crc/)","Clinical Coordinator","MRCT CT 2025-09-26"
"C142435","C203912",,"MRCT Center Clinical Research Glossary","clinical research",,"A type of science that uses people's data to study health, illness, behaviors, or conditions in careful and defined ways. (https://mrctcenter.org/glossaryterm/clinical-research/)","Clinical Research and Development","MRCT CT 2025-09-26"
"C71104","C203912",,"MRCT Center Clinical Research Glossary","clinical trial",,"A research study that tests drugs, devices and treatments to see if they are safe and work in people. (https://mrctcenter.org/glossaryterm/clinical-trial/)","Clinical Trial","MRCT CT 2025-09-26"
"C85499","C203912",,"MRCT Center Clinical Research Glossary","clinician",,"A health care provider. (https://mrctcenter.org/glossaryterm/clinician/)","Clinician","MRCT CT 2025-09-26"
"C61512","C203912",,"MRCT Center Clinical Research Glossary","cohort",,"A group of study participants that are similar in some way. (https://mrctcenter.org/glossaryterm/cohort/)","Cohort","MRCT CT 2025-09-26"
"C203916","C203912",,"MRCT Center Clinical Research Glossary","Comparative Effectiveness Research (CER)",,"A study comparing two or more treatments. (https://mrctcenter.org/glossaryterm/comparative-effectiveness-research-cer/)","Comparative Effectiveness Research","MRCT CT 2025-09-26"
"C142458","C203912",,"MRCT Center Clinical Research Glossary","comparator",,"Something that is compared to the study treatment. (https://mrctcenter.org/glossaryterm/comparator/)","Comparator","MRCT CT 2025-09-26"
"C209471","C203912",,"MRCT Center Clinical Research Glossary","compensation (study)",,"Money and other forms of payment that may be given to participants for completing study activities. (https://mrctcenter.org/glossaryterm/compensation-study/)","Study Compensation","MRCT CT 2025-09-26"
"C39490","C203912",,"MRCT Center Clinical Research Glossary","compliance",,"Following research requirements. (https://mrctcenter.org/glossaryterm/compliance/)","Patient Compliance","MRCT CT 2025-09-26"
"C17204","C203912",,"MRCT Center Clinical Research Glossary","Computerized Tomography (CT) scan",,"A way to take pictures of the inside of a person's body using a type of radiation and a computer. (https://mrctcenter.org/glossaryterm/computerized-tomography-ct-scan/)","Computed Tomography","MRCT CT 2025-09-26"
"C70902","C203912",,"MRCT Center Clinical Research Glossary","concomitant medications",,"Non-study medicines that are allowed to be taken at the same time as the study treatment. (https://mrctcenter.org/glossaryterm/concomitant-medications/)","Concomitant Agent","MRCT CT 2025-09-26"
"C153144","C203912",,"MRCT Center Clinical Research Glossary","conduct",,"To do a study or procedure. (https://mrctcenter.org/glossaryterm/conduct/)","Study Conduct","MRCT CT 2025-09-26"
"C53324","C203912",,"MRCT Center Clinical Research Glossary","confidence interval",,"The defined range of numbers used to describe where the results are expected to fall. (https://mrctcenter.org/glossaryterm/confidence-interval/)","Confidence Interval","MRCT CT 2025-09-26"
"C16466","C203912",,"MRCT Center Clinical Research Glossary","confidentiality",,"Protecting personal information from people who should not have access. (https://mrctcenter.org/glossaryterm/confidentiality/)","Confidentiality","MRCT CT 2025-09-26"
"C209462","C203912",,"MRCT Center Clinical Research Glossary","confounding",,"When the study outcome is influenced by outside conditions that were not expected by the study researchers. (https://mrctcenter.org/glossaryterm/confounding/)","Confounding Variable","MRCT CT 2025-09-26"
"C16468","C203912",,"MRCT Center Clinical Research Glossary","consent form",,"A document used to explain the planned research before a person decides whether or not to join a study. (https://mrctcenter.org/glossaryterm/consent-form/)","Consent Form","MRCT CT 2025-09-26"
"C54148","C203912",,"MRCT Center Clinical Research Glossary","Contract Research Organization (CRO)",,"A group that is paid by the study sponsor to support research studies. (https://mrctcenter.org/glossaryterm/contract-research-organization-cro/)","Contract Research Organization","MRCT CT 2025-09-26"
"C28143","C203912",,"MRCT Center Clinical Research Glossary","control group",,"The people in a study who do not receive the study treatment or do not have the condition being studied. (https://mrctcenter.org/glossaryterm/control-group/)","Control Group","MRCT CT 2025-09-26"
"C48834","C203912",,"MRCT Center Clinical Research Glossary","correlation",,"When two or more measures are linked. (https://mrctcenter.org/glossaryterm/correlation/)","Correlation","MRCT CT 2025-09-26"
"C82637","C203912",,"MRCT Center Clinical Research Glossary","crossover trial",,"A type of study where each participant receives all the study treatments but in a randomly assigned order. (https://mrctcenter.org/glossaryterm/crossover-trial/)","Crossover Study","MRCT CT 2025-09-26"
"C142489","C203912",,"MRCT Center Clinical Research Glossary","Data Monitoring Committee/Data and Safety Monitoring Board (DMC/DSMB)",,"An independent group of experts that reviews study data to make sure that patient safety is protected. (https://mrctcenter.org/glossaryterm/data-monitoring-committee-data-and-safety-monitoring)","Data Monitoring Committee","MRCT CT 2025-09-26"
"C25474","C203912",,"MRCT Center Clinical Research Glossary","data",,"Information collected from or about people taking part in a research study. (https://mrctcenter.org/glossaryterm/data/)","Data","MRCT CT 2025-09-26"
"C203935","C203912",,"MRCT Center Clinical Research Glossary","database (research)",,"Information that is collected and organized to be used for research. (https://mrctcenter.org/glossaryterm/database-research/)","Research Database","MRCT CT 2025-09-26"
"C176257","C203912",,"MRCT Center Clinical Research Glossary","decentralized clinical trial",,"A type of research study where some or all of the participant's study-related activities happen at places other than a single study site. (https://mrctcenter.org/glossaryterm/decentralized-clinical-trial/)","Decentralized Clinical Trial","MRCT CT 2025-09-26"
"C142444","C203912",,"MRCT Center Clinical Research Glossary","discontinue (participant)",,"To remove a study participant from a study. (https://mrctcenter.org/glossaryterm/discontinue-participant/)","Study Subject Discontinuation","MRCT CT 2025-09-26"
"C49502","C203912",,"MRCT Center Clinical Research Glossary","discontinue (study treatment)",,"To stop a study treatment in a participant. (https://mrctcenter.org/glossaryterm/discontinue-study-treatment/)","Drug Withdrawn","MRCT CT 2025-09-26"
"C17747","C203912",,"MRCT Center Clinical Research Glossary","disease progression",,"An illness getting worse over time. (https://mrctcenter.org/glossaryterm/disease-progression/)","Disease Progression","MRCT CT 2025-09-26"
"C17751","C203912",,"MRCT Center Clinical Research Glossary","disease-free survival",,"The length of time after treatment that a person lives without the illness coming back. (https://mrctcenter.org/glossaryterm/disease-free-survival/)","Disease-Free Survival","MRCT CT 2025-09-26"
"C90475","C203912",,"MRCT Center Clinical Research Glossary","dose escalation study",,"A kind of study where increasing amounts of a study treatment are given to different groups to find the best dose. (https://mrctcenter.org/glossaryterm/dose-escalation-study/)","Titration Study","MRCT CT 2025-09-26"
"C15228","C203912",,"MRCT Center Clinical Research Glossary","double-blind study",,"A study that is set up so that the study treatment that each participant receives is not known by the participants or the researchers. (https://mrctcenter.org/glossaryterm/double-blind-study/)","Double Blind Study","MRCT CT 2025-09-26"
"C203919","C203912",,"MRCT Center Clinical Research Glossary","drug holiday",,"A time period decided between the participant and study team when a medication is stopped and then re-started. (https://mrctcenter.org/glossaryterm/drug-holiday/)","Drug Holiday","MRCT CT 2025-09-26"
"C15986","C203912",,"MRCT Center Clinical Research Glossary","drug therapy",,"The use of medicine to treat a disease, condition, or symptom. (https://mrctcenter.org/glossaryterm/drug-therapy/)","Pharmacotherapy","MRCT CT 2025-09-26"
"C203920","C203912",,"MRCT Center Clinical Research Glossary","e-consent (form)",,"An electronic version of an informed consent form. (https://mrctcenter.org/glossaryterm/e-consent-form/)","Electronic Consent Form","MRCT CT 2025-09-26"
"C142522","C203912",,"MRCT Center Clinical Research Glossary","effectiveness",,"How well a treatment works. (https://mrctcenter.org/glossaryterm/effectiveness/)","Effectiveness","MRCT CT 2025-09-26"
"C88183","C203912",,"MRCT Center Clinical Research Glossary","efficacy",,"How well a study treatment works in the study. (https://mrctcenter.org/glossaryterm/efficacy/)","Efficacy","MRCT CT 2025-09-26"
"C16112","C203912",,"MRCT Center Clinical Research Glossary","eligibility criteria",,"The reasons a person can be included in, or excluded from, a study. (https://mrctcenter.org/glossaryterm/eligibility-criteria/)","Clinical Trial Eligibility Criteria","MRCT CT 2025-09-26"
"C96966","C203912",,"MRCT Center Clinical Research Glossary","Emergency Use Authorization (EUA)",,"A process to make a treatment or vaccine available during a public health emergency, before all research is complete, and before full approval is granted. (https://mrctcenter.org/glossaryterm/emergency-use-authorization-eua/)","Emergency Use Authorization","MRCT CT 2025-09-26"
"C25212","C203912",,"MRCT Center Clinical Research Glossary","endpoint",,"A measure of the expected effect of the study treatment. (https://mrctcenter.org/glossaryterm/endpoint/)","End Point","MRCT CT 2025-09-26"
"C37948","C203912",,"MRCT Center Clinical Research Glossary","enroll",,"The action of a participant joining the study after providing informed consent. (https://mrctcenter.org/glossaryterm/enroll/)","Enrollment","MRCT CT 2025-09-26"
"C17843","C203912",,"MRCT Center Clinical Research Glossary","epidemiologist",,"A person who studies where, why, how often, and to what populations health concerns and diseases happen. (https://mrctcenter.org/glossaryterm/epidemiologist/)","Epidemiologist","MRCT CT 2025-09-26"
"C142539","C203912",,"MRCT Center Clinical Research Glossary","equivalence",,"When two or more things in a study are about the same. (https://mrctcenter.org/glossaryterm/equivalence/)","Equivalence Trial","MRCT CT 2025-09-26"
"C203921","C203912",,"MRCT Center Clinical Research Glossary","equivalent (effect)",,"The same or almost the same result. (https://mrctcenter.org/glossaryterm/equivalent-effect/)","Equivalent Effect","MRCT CT 2025-09-26"
"C142533","C203912",,"MRCT Center Clinical Research Glossary","eSignature",,"A way for a person to sign their name using a computer or device, instead of signing on paper. (https://mrctcenter.org/glossaryterm/esignature/)","Electronic Signature","MRCT CT 2025-09-26"
"C25370","C203912",,"MRCT Center Clinical Research Glossary","exclusion criteria",,"A list of reasons a person cannot be included in a study. (https://mrctcenter.org/glossaryterm/exclusion-criteria/)","Exclusion Criteria","MRCT CT 2025-09-26"
