"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Described Value Domain","Role","Variables Qualified","Usage Restrictions","Variable C-Code","Definition","Notes","Examples"
"SDTM v2.0","1","General Observations",,"STUDYID","Study Identifier","Char",,"Identifier","",,"C83082","A sequence of characters used by the sponsor to uniquely identify the study.",,
"SDTM v2.0","2","General Observations",,"DOMAIN","Domain Abbreviation","Char",,"Identifier","",,"C49558","An abbreviation for a collection of observations, with a topic-specific commonality.","2-character abbreviation. The domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged.",
"SDTM v2.0","3","General Observations",,"USUBJID","Unique Subject Identifier","Char",,"Identifier","",,"C69256","A sequence of characters used to uniquely identify a subject across all studies for all applications or submissions involving the product.",,
"SDTM v2.0","4","General Observations",,"POOLID","Pool Identifier","Char",,"Identifier","",,"C117053","A sequence of characters used to uniquely identify a group of subjects that have been pooled together.","Used for results that are not assignable to a specific subject.",
"SDTM v2.0","5","General Observations",,"SPDEVID","Sponsor Device Identifier","Char",,"Identifier","",,"C117060","A sequence of characters used by the sponsor to uniquely identify a specific device.",,
"SDTM v2.0","6","General Observations",,"NHOID","Non-Host Organism Identifier","Char",,"Identifier","",,,,"Sponsor-defined identifier for a non-host organism. This variable should be populated with an intuitive name based on the identity of the non-host organism as reported by the lab.","A/California/7/2009 (H1N1)"
"SDTM v2.0","7","General Observations",,"FETUSID","Fetus Identifier","Char",,"Identifier","","Not in human clinical trials","C170497","A sequence of characters used to uniquely identify a fetus associated with a maternal subject, for a particular prenatal evaluation.",,
"SDTM v2.0","8","General Observations",,"FOCID","Focus of Study-Specific Interest","Char",,"Identifier","",,,,"Identification of a focus of study-specific interest on or within a subject or specimen as called out in the protocol for which a measurement, test, or examination was performed. The value in this variable should have inherent semantic meaning.","A drug application site (e.g., ""Injection site 1"", ""Biopsy site 1"", ""Treated site 1""), or a more specific focus (e.g., ""OD"" (right eye), ""Upper left quadrant of the back"")"
"SDTM v2.0","9","General Observations",,"--SEQ","Sequence Number","Num",,"Identifier","",,"C70710","A number used in combination with the identifier of the subject of the observation to uniquely identify a record within a domain.","May be any valid number (including decimals) and does not have to start at 1. Datasets that do not contain subject data, such as the Trial Summary (TS) domain and the Device Tracking (DT) domains, use --SEQ as a sequence number to ensure uniqueness within the dataset.",
"SDTM v2.0","10","General Observations",,"--GRPID","Group ID","Char",,"Identifier","",,"C170996","A sequence of characters used to uniquely identify related records for a subject within a domain, or related parameters in the Trial Summary (TS) dataset.","See also Section 5.1.6, Trial Summary Information and Section 5.1.7, Challenge Agent Characterization.",
"SDTM v2.0","11","General Observations",,"--REFID","Reference ID","Char",,"Identifier","",,"C82531","A sequence of characters used to uniquely identify a source of information.",,"A lab specimen ID, the UUID for an ECG waveform or a medical image."
"SDTM v2.0","12","General Observations",,"--RECID","Invariant Record Identifier","Char",,"Identifier","",,,,"Identifier for a record that is unique within a domain for a study and that remains invariant through subsequent versions of the dataset, even if the content of the record is modified. When a record is deleted, this value must not be reused to identify another record in either the current or future versions of the domain.",
"SDTM v2.0","13","General Observations",,"--SPID","Sponsor-Defined Identifier","Char",,"Identifier","",,"C82530","A sponsor-defined sequence of characters used to identify an instance of an observation.",,"A preprinted line identifier on a Concomitant Medications form."
"SDTM v2.0","14","General Observations",,"--LNKID","Link ID","Char",,"Identifier","",,"C117050","A sequence of characters used to uniquely identify a record, for a subject, in one domain and link it to 1 or more records for that subject in another domain.","This may be a one-to-one or a one-to-many relationship.","A value that links a single tumor to multiple measurements/assessments performed at different times."
"SDTM v2.0","15","General Observations",,"--LNKGRP","Link Group ID","Char",,"Identifier","",,"C117049","A sequence of characters used to uniquely identify a group of records, for a subject, in one domain and link it to 1 or more records for that subject in another domain.","This will usually be a many-to-one relationship.","A value that links multiple tumor measurement/assessments to a single response to therapy."
"SDTM v2.0","16","General Observations",,"--BEATNO","ECG Beat Number","Num",,"Identifier","","EG Domain only",,,"A sequence number that identifies the beat within an ECG.",
"SDTM v2.0","17","General Observations",,"VISITNUM","Visit Number","Num",,"Timing","",,"C83101","An assigned numeric identifier that aligns to the chronological order of a clinical encounter.","Numeric version of VISIT, used for sorting. VISITNUM does not have to be an integer value.","1, 1.1, 503.75"
"SDTM v2.0","18","General Observations",,"VISIT","Visit Name","Char",,"Timing","",,"C171010","The label for a protocol-defined clinical encounter.",,
"SDTM v2.0","19","General Observations",,"VISITDY","Planned Study Day of Visit","Num",,"Timing","",,"C171011","The planned study day of a clinical encounter relative to the sponsor-defined reference start date.","Should be an integer.",
"SDTM v2.0","20","General Observations",,"TAETORD","Planned Order of Element Within Arm","Num",,"Timing","",,"C83438","An assigned numeric identifier that gives the planned order of the element within the trial arm of the study.","See Section 5.1.1.2, Trial Arms.",
"SDTM v2.0","21","General Observations",,"EPOCH","Epoch","Char",,"Timing","",,"C71738","A time period defined in the protocol with a study-specific purpose.","The epoch associated with an observation is determined by the start date or start date and time of the observation, or the date/time of collection if start date/time is not collected (see Section 5.1.1.2, Trial Arms).",
"SDTM v2.0","22","General Observations",,"RPHASE","Repro Phase","Char",,"Timing","","Not in human clinical trials",,,"Reproductive phase with which the reproductive stage of the reproductive path is associated. Defined in Trial Paths domain. The RPHASE variable is Required when any Reproductive Phase Day variable is used.",
"SDTM v2.0","23","General Observations",,"RPPLDY","Planned Repro Phase Day of Observation","Num",,"Timing","","Not in human clinical trials","C170506","The day within the reproductive phase on which the test or observation was scheduled to occur.","Expressed as an integer.",
"SDTM v2.0","24","General Observations",,"RPPLSTDY","Planned Repro Phase Day of Obs Start","Num",,"Timing","","Not in human clinical trials","C170508","The day within the reproductive phase on which the test or observation was scheduled to begin.","Expressed as an integer.",
"SDTM v2.0","25","General Observations",,"RPPLENDY","Planned Repro Phase Day of Obs End","Num",,"Timing","","Not in human clinical trials","C170507","The day within the reproductive phase on which the test or observation was scheduled to end.","Expressed as an integer.",
"SDTM v2.0","26","General Observations",,"--DTC","Date/Time of Collection","Char","ISO 8601 datetime or interval","Timing","",,"C82515","The date or date and time of the assessment or the specimen or data collection from the subject, represented in a standardized character format.",,
"SDTM v2.0","27","General Observations",,"--STDTC","Start Date/Time of Observation","Char","ISO 8601 datetime or interval","Timing","","Not in Findings class domains","C82517","The start date or date and time of an intervention or event, represented in a standardized character format.","The start date of a Findings class record is stored in the --DTC variable.",
"SDTM v2.0","28","General Observations",,"--ENDTC","End Date/Time of Observation","Char","ISO 8601 datetime or interval","Timing","",,"C82516","The end date or date and time of an intervention, event, or finding, represented in a standardized character format.",,
"SDTM v2.0","29","General Observations",,"--DY","Study Day of Visit/Collection/Exam","Num",,"Timing","",,"C170993","The number of days from the sponsor-defined reference start date to the date of collection (--DTC), used in study data tabulation.","The sponsor-defined reference start date is RFSTDTC in Demographics.",
"SDTM v2.0","30","General Observations",,"--STDY","Study Day of Start of Observation","Num",,"Timing","","Not in Findings class domains","C171005","The number of days from the sponsor-defined reference start date to the start of an intervention or event (--STDTC), used for study data tabulation.","The sponsor-defined reference start date is RFSTDTC in Demographics.",
