"Format Name","Data Type","Code Value","Code Text"
"FormatName","DataType","CodeValue","CodeText"
"YESNO","string","Y","Yes"
"YESNO","string","N","No"
"SEX","string","F","Female"
"SEX","string","M","Male"
"AGEU","integer","1","Years"
"MENOSTAT","integer","1","≥1 Year post-menopausal"
"MENOSTAT","integer","2","Hysterectomy"
"MENOSTAT","integer","3","Bilateral tubal ligation"
"RACE","string","0","Not collected"
"RACE","string","1","Asian"
"RACE","string","2","Black or African American"
"RACE","string","3","White"
"RACE","string","OT","Other"
"ETHNIC","string","HISPANIC OR LATINO","Hispanic or Latino"
"ETHNIC","string","NOT HISPANIC OR LATINO","Not Hispanic or Latino"
"ETHNIC","string","NOT REPORTED","Not reported"
"ETHNIC","string","UNKNOWN","Unknown"
