"ID","Label","Data Type","Mandatory","Decimals","Min Length","Max Length","Format Name","Content Length"
"ID","Label","DataType","Mandatory","Decimals","MinLength","MaxLength","FormatName","ContentLength"
"SiteSeq","Site sequence number","integer","","","","","","1"
"SiteName","Site name","text","","","","","","18"
"SiteCode","Site code","text","","","","","","3"
"SubjectSeq","Subject sequence number","integer","","","","","","2"
"SubjectId","Subject Id","text","","","","","","3"
"EventSeq","Event sequence number","text","","","","","","1"
"EventId","Event Id","text","","","","","","5"
"EventName","Event name","text","","","","","","5"
"EventDate","Event date","date","","","","","","10"
"ActivityId","Activity Id","text","","","","","","5"
"ActivityName","Activity name","text","","","","","","0"
"FormSeq","Form sequence number","text","","","","","","1"
"SubjectFormSeq","Subject form sequence number","integer","","","","","","1"
"OriginSubjectFormSeq","Origin Subject form sequence number","integer","","","","","","1"
"SourceSubjectFormSeq","Source Subject form sequence number","integer","","","","","","0"
"DesignVersion","Design version","text","","","","","","4"
"ICYN","Informed Consent Obtained","text","True","","1","","","3"
"ICYNCD","Informed Consent Obtained - Code","string","True","","1","","YESNO","1"
"ICDAT","Informed Consent date and time","datetime","True","","1","","","16"
"SUDJID","Subject ID","text","True","","1","","","8"
"SEX","Gender","text","True","","1","","","6"
"SEXCD","Gender - Code","string","True","","1","","SEX","1"
"AGE","Age","double","True","0","1","","","2"
"AGEU","Age Unit","text","True","","1","","","5"
"AGEUCD","Age Unit - Code","integer","True","","1","","AGEU","1"
"CHILDPOT","Childbearing Potential","text","True","","1","","","3"
"CHILDPOTCD","Childbearing Potential - Code","string","True","","1","","YESNO","1"
"MENOSTAT","Reason","text","True","","1","","","25"
"MENOSTATCD","Reason - Code","integer","True","","1","","MENOSTAT","1"
"CHILDPOTY"," Violation of exclusion criterion #7","text","True","","1","","","2"
"CHILDPOTYCD"," Violation of exclusion criterion #7 - Code","string","True","","1","","YESNO","1"
"RACE","Race","text","True","","1","","","25"
"RACECD","Race - Code","string","True","","1","","RACE","2"
"RACESP","Specification Other Race","text","True","","1","","","6"
"ETHNIC","Ethnicity","text","True","","1","","","22"
"ETHNICCD","Ethnicity - Code","string","True","","1","","ETHNIC","22"
