"Format Name","Data Type","Code Value","Code Text"
"FormatName","DataType","CodeValue","CodeText"
"YESNO","text","Y","Yes"
"YESNO","text","N","No"
"RACE","integer","1","Asian"
"RACE","integer","2","Black, Black African, or African American"
"RACE","integer","3","White, Caucasian, or Arabic"
"RACE","integer","4","Other or None of the above"
"ETHNIC","integer","1","Hispanic or Latino"
"ETHNIC","integer","2","Not Hispanic or Latino"
"SEX","text","F","Female"
"SEX","text","M","Male"
"AGEU","integer","1","Years"
"MENOSTAT","integer","1","≥1 Year post-menopausal"
"MENOSTAT","integer","2","Hysterectomy"
"MENOSTAT","integer","3","Bilateral tubal ligation"
"YESNO_A","text","Y","Yes"
"YESNO_A","text","N","No"
"PEORRES","integer","1","Normal"
"PEORRES","integer","2","Abnormal, NCS"
"PEORRES","integer","3","Abnormal, CS"
"CL_VSPERFF","text","Y","Yes"
"CL_VSPERFF","text","N","No"
"HGHTUNIT","integer","1","cm"
"WEIGHT","integer","1","kg"
"VSRESU_C","integer","1","kg/m2"
"TEMPC","integer","1","C"
"PULSE","integer","1","beats/min"
"POSITION","text","SUPINE","SUPINE"
"POSITION","text","SITTING","SITTING"
"POSITION","text","PRONE","PRONE"
"POSITION","text","STANDING","STANDING"
"BPUNIT","integer","1","mmHg"
"IECAT","integer","1","Inclusion"
"IECAT","integer","2","Exclusion"
"IECAT","integer","3","Both"
"ONEFOUR","integer","1","1"
"ONEFOUR","integer","2","2"
"ONEFOUR","integer","3","3"
"ONEFOUR","integer","4","4"
"ONEFOUR","integer","5","5"
"ONE","integer","1","1"
"ONE","integer","2","2"
"ONE","integer","3","3"
"ONE","integer","4","4"
"ONE","integer","5","5"
"ONE","integer","6","6"
"ONE","integer","7","7"
"ONE","integer","8","8"
"ONE","integer","9","9"
"ONE","integer","10","10"
"LAB","integer","1","="
"LAB","integer","2",">"
"LAB","integer","3","<"
"LABN","integer","1","g/dL"
"LABN","integer","2","mmol/L"
"LABN","integer","3","g/L"
"LABN","integer","99","Other"
"NCSCS","integer","1","NCS"
"NCSCS","integer","2","CS"
"LABK","integer","1","%"
"LABK","integer","2","L/L"
"LABK","integer","3","Proportion of 1.0"
"LABK","integer","4","Volume fraction"
"LABK","integer","99","Other"
"UNITA","integer","1","10^12/L"
"UNITA","integer","2","T/L"
"UNITA","integer","3","Tpt/L"
"UNITA","integer","4","10^6/uL"
"UNITA","integer","5","10^6/mm^3"
"UNITA","integer","6","M/uL"
"UNITA","integer","7","M/mm^3"
"UNITA","integer","8","cells/uL"
"UNITA","integer","9","cells/mm^3"
"UNITA","integer","10","cells/L"
"UNITA","integer","11","10^9/L"
"UNITA","integer","99","Other"
"LABR","integer","1","10^3/uL"
"LABR","integer","2","10^9/L"
"LABR","integer","3","G/L"
"LABR","integer","4","Gpt/L"
"LABR","integer","5","cells/L"
"LABR","integer","6","10^3/mm^3"
"LABR","integer","7","K/uL"
"LABR","integer","8","K/mm^3"
"LABR","integer","9","cells/uL"
"LABR","integer","10","cells/mm^3"
"LABR","integer","11","%"
"LABR","integer","99","Other"
"LABE","integer","1","10^3/uL"
"LABE","integer","2","10^9/L"
"LABE","integer","3","G/L"
"LABE","integer","4","Gpt/L"
"LABE","integer","5","cells/L"
"LABE","integer","6","10^3/mm^3"
"LABE","integer","7","K/uL"
"LABE","integer","8","K/mm^3"
"LABE","integer","9","cells/uL"
"LABE","integer","10","cells/mm^3"
"LABE","integer","99","Other"
"CL_S4352F","integer","5759","KIEM lab"
"CL_S4352F","integer","5760","KIEM lab"
"NEGPOS","integer","1","Negative"
"NEGPOS","integer","2","Positive"
"CL_S4354F","integer","5762","KIEM lab"
"CULTURE","text","0","None"
"CULTURE","text","1","Salmonella"
"CULTURE","text","2","Shigella"
"CULTURE","text","3","Campylobacter"
"CULTURE","text","4","Campylobacter"
