"ID","Label","Data Type","Mandatory","Decimals","Min Length","Max Length","Format Name","Content Length"
"ID","Label","DataType","Mandatory","Decimals","MinLength","MaxLength","FormatName","ContentLength"
"SiteSeq","Site sequence number","integer","","","","","","1"
"SiteName","Site name","text","","","","","","9"
"SiteCode","Site code","text","","","","","","4"
"SubjectSeq","Subject sequence number","integer","","","","","","1"
"SubjectId","Subject Id","text","","","","","","7"
"EventSeq","Event sequence number","text","","","","","","1"
"EventId","Event Id","text","","","","","","5"
"EventName","Event name","text","","","","","","28"
"EventDate","Event date","date","","","","","","10"
"ActivityId","Activity Id","text","","","","","","9"
"ActivityName","Activity name","text","","","","","","0"
"FormSeq","Form sequence number","text","","","","","","1"
"SubjectFormSeq","Subject form sequence number","integer","","","","","","2"
"OriginSubjectFormSeq","Origin Subject form sequence number","integer","","","","","","2"
"SourceSubjectFormSeq","Source Subject form sequence number","integer","","","","","","0"
"DesignVersion","Design version","text","","","","","","3"
"ICYN","Informed consent obtained","text","True","","1","","","3"
"ICYNCD","Informed consent obtained - Code","text","True","","1","","YESNO","1"
"ICDAT","Informed Consent Date","date","True","","1","","","10"
"RACE","Race","text","True","","1","","","27"
"RACECD","Race - Code","integer","True","","1","","RACE","1"
"ETHNIC","Ethnicity","text","True","","1","","","22"
"ETHNICCD","Ethnicity - Code","integer","True","","1","","ETHNIC","1"
"SEX","Gender","text","True","","1","","","6"
"SEXCD","Gender - Code","text","True","","1","","SEX","1"
"AGE","Age","double","True","0","1","","","2"
"AGEU","Age unit","text","True","","1","","","5"
"AGEUCD","Age unit - Code","integer","True","","1","","AGEU","1"
"CHILDPOT","Childbearing potential","text","True","","1","","","3"
"CHILDPOTCD","Childbearing potential - Code","text","True","","1","","YESNO","1"
"MENOSTAT","Reason","text","True","","1","","","25"
"MENOSTATCD","Reason - Code","integer","True","","1","","MENOSTAT","1"
"VSTTYPE","Type of Visit","text","True","","1","","","9"
"VSTTYPECD","Type of Visit - Code","integer","True","","1","","VTYPE","1"
"VSTATYN","Continuing to the Next Visit","text","True","","1","","","3"
"VSTATYNCD","Continuing to the Next Visit - Code","text","True","","1","","YESNO","1"
"IEORRES","I/E Criterion Original Result","text","True","","1","","","3"
"IEORRESCD","I/E Criterion Original Result - Code","text","True","","1","","YESNO","1"
"IECAT","Inclusion/Exclusion Not Met","text","True","","1","","","9"
"IECATCD","Inclusion/Exclusion Not Met - Code","integer","True","","1","","IECAT","1"
"IEINTESTCD1","Inclusion Criterion Short Name 1","text","True","","1","","","0"
"IEINTESTCD1CD","Inclusion Criterion Short Name 1 - Code","integer","True","","1","","ONEFOUR","0"
"IEINTESTCD2","Inclusion Criterion Short Name 2","text","True","","1","","","0"
"IEINTESTCD2CD","Inclusion Criterion Short Name 2 - Code","integer","True","","1","","ONEFOUR","0"
"IEINTESTCD3","Inclusion Criterion Short Name 3","text","True","","1","","","0"
"IEINTESTCD3CD","Inclusion Criterion Short Name 3 - Code","integer","True","","1","","ONEFOUR","0"
"IEINTESTCD4","Inclusion Criterion Short Name 4","text","True","","1","","","0"
"IEINTESTCD4CD","Inclusion Criterion Short Name 4 - Code","integer","True","","1","","ONEFOUR","0"
"IEINTESTCD5","Inclusion Criterion Short Name 5","text","True","","1","","","0"
"IEINTESTCD5CD","Inclusion Criterion Short Name 5 - Code","integer","True","","1","","ONEFOUR","0"
"IEEXTESTCD1","Exclusion Criterion Short Name 1","text","True","","1","","","0"
"IEEXTESTCD1CD","Exclusion Criterion Short Name 1 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD2","Exclusion Criterion Short Name 2","text","True","","1","","","0"
"IEEXTESTCD2CD","Exclusion Criterion Short Name 2 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD3","Exclusion Criterion Short Name 3","text","True","","1","","","1"
"IEEXTESTCD3CD","Exclusion Criterion Short Name 3 - Code","integer","True","","1","","ONE","1"
"IEEXTESTCD4","Exclusion Criterion Short Name 4","text","True","","1","","","0"
"IEEXTESTCD4CD","Exclusion Criterion Short Name 4 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD5","Exclusion Criterion Short Name 5","text","True","","1","","","0"
"IEEXTESTCD5CD","Exclusion Criterion Short Name 5 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD6","Exclusion Criterion Short Name 6","text","True","","1","","","0"
"IEEXTESTCD6CD","Exclusion Criterion Short Name 6 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD7","Exclusion Criterion Short Name 7","text","True","","1","","","0"
"IEEXTESTCD7CD","Exclusion Criterion Short Name 7 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD8","Exclusion Criterion Short Name 8","text","True","","1","","","0"
"IEEXTESTCD8CD","Exclusion Criterion Short Name 8 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD9","Exclusion Criterion Short Name 9","text","True","","1","","","0"
"IEEXTESTCD9CD","Exclusion Criterion Short Name 9 - Code","integer","True","","1","","ONE","0"
"IEEXTESTCD10","Exclusion Criterion Short Name 10","text","True","","1","","","0"
"IEEXTESTCD10CD","Exclusion Criterion Short Name 10 - Code","integer","True","","1","","ONE","0"
"PREGPERF","Vital Signs collected","text","True","","1","","","3"
"PREGPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"PREGDAT","Date of pregnancy test","date","True","","1","","","10"
"PREGREASND","Reasonpregnancy testnotperformed","text","True","","1","","","0"
"PREGTYPE","Specimen Type","text","True","","1","","","5"
"PREGTYPECD","Specimen Type - Code","integer","True","","1","","PREGTEST","1"
"PREGORRES","Result","text","True","","1","","","8"
"PREGORRESCD","Result - Code","integer","True","","1","","POSNEG","1"
"PEPERF","Vital Signs collected","text","True","","1","","","3"
"PEPERFCD","Vital Signs collected - Code","text","True","","1","","YESNO_A","1"
"PEDAT","Date of examination","date","True","","1","","","10"
"PETIM","Time ofexamination","time","True","","1","","","5"
"PEREASND","Reason not done","text","True","","1","","","13"
"PE_ORRES","Result","text","True","","1","","","13"
"PE_ORRESCD","Result - Code","integer","True","","1","","PEORRES","1"
