"Code","Codelist Code","Codelist Extensible (Yes/No)","Codelist Name","CDISC Submission Value","CDISC Synonym(s)","CDISC Definition","NCI Preferred Term","Standard and Date"
"C67497",,,"CDISC Glossary","CDISC Glossary","CDISC Glossary","The terminology of the Clinical Data Interchange Standards Consortium (CDISC) glossary.","CDISC Glossary Terminology","Glossary CT 2025-09-26"
"C80442","C67497",,"CDISC Glossary","510(k)",,"510(k). Premarket Notification (PMN) required for certain medical devices. See http://www.fda.gov/cdrh/510khome.html.","Premarket Device Notification","Glossary CT 2025-09-26"
"C42610","C67497",,"CDISC Glossary","abbreviation",,"A set of letters that are drawn from a word or from a sequence of words and that are used for brevity in place of the full word or phrase. NOTE: An abbreviation is NOT pronounced as a word, but each letter is read in sequence (e.g., NIH). Compare to acronym.","Abbreviation","Glossary CT 2025-09-26"
"C71733","C67497",,"CDISC Glossary","absorption",,"The process by which medications reach the blood stream when administered other than intravenously, for example, through nasal membranes. See also ADME (pharmacokinetics).","Biological Absorption","Glossary CT 2025-09-26"
"C156638","C67497",,"CDISC Glossary","accelerated approval","fast track designation","Regulatory mechanism by which new drugs meant to treat serious life-threatening diseases and that provide meaningful therapeutic benefit to patients over existing treatments can be approved rapidly. [after FDA, Guidance for Industry Expedited Programs for Serious Conditions - Drugs and Biologics; after NIH-FDA BEST (Biomarkers, Endpoints, and other Tools) Resource https://www.ncbi.nlm.nih.gov/books/NBK338448/]","Accelerated Approval","Glossary CT 2025-09-26"
"C25403","C67497",,"CDISC Glossary","accrual",,"The accumulation or increase in the number of study subject enrolled over time. NOTE: Accrual is often conflated with enrollment but there is a semantic distinction in that accrual represents the rate of subject enrollment. [After Schroen AT, Petroni GR, Wang H, Thielen MJ, Gray R, Benedetti J, Wang XF, Sargent DJ, Wickerham DL, Cronin W, Djulbegovic B, Slingluff CL Jr. Achieving sufficient accrual to address the primary endpoint in phase III clinical trials from U.S. Cooperative Oncology Groups. Clin Cancer Res. 2012 Jan 1;18(1):256-62.] See also target enrollment.","Accrual","Glossary CT 2025-09-26"
"C93495","C67497",,"CDISC Glossary","acronym",,"A word formed from the beginning letters (e.g., ANSI) or a combination of syllables and letters (e.g., MedDRA) of a name or phrase. NOTE: An acronym is usually pronounced as a word, not by speaking each letter individually. Compare to abbreviation","Acronym","Glossary CT 2025-09-26"
"C142550","C67497",,"CDISC Glossary","action letter",,"An official communication from FDA to an NDA sponsor announcing an agency decision. See also approval letter, approvable letter, not-approvable letter.","FDA Action Letter","Glossary CT 2025-09-26"
"C142528","C67497",,"CDISC Glossary","activation (EDC)",,"Enabling an eClinical trial system to capture data; usually used for EDC systems.","Electronic Data Capture Activation","Glossary CT 2025-09-26"
"C95337","C67497",,"CDISC Glossary","active ingredient dose","active substance dose","The amount of a single active substance administered in a single dose.","Active Ingredient Dose","Glossary CT 2025-09-26"
"C82533","C67497",,"CDISC Glossary","active ingredient",,"Any component of a drug product intended to exert pharmacological activity or other direct effect in the diagnosis, cure, mitigation, treatment, or prevention of disease, or to affect the structure or any function of the body of humans or other animals. [After 21 CFR 210.3(b)(7)]","Active Ingredient","Glossary CT 2025-09-26"
"C202486","C67497",,"CDISC Glossary","active substance",,"Substance responsible for the activity of the medicine. NOTE: The protocol may define the active substance in terms of the Anatomical Therapeutic Chemical (ATC) code (level 3-5). [EMA Glossary of regulatory terms; EU Reg 536/2014] See also international nonproprietary name (INN), generic name.","Active Substance","Glossary CT 2025-09-26"
"C98704","C67497",,"CDISC Glossary","adaptive design",,"A clinical trial design that allows for prospectively planned modifications to one or more aspects of the design based on accumulating data from subjects in the trial. [Adaptive Designs for Clinical Trials of Drugs and Biologics Guidance for Industry, FDA] See also master protocol.","Adaptive Design","Glossary CT 2025-09-26"
"C203914","C67497",,"CDISC Glossary","additive effect",,"An interaction between bioactive compounds or drugs that is deemed to be equal to the sum of the individual components. NOTE: The terms additivity, synergism, and antagonism should be used with care, unless the specific pharmacological pathways or mechanisms of action of the investigated drugs are known. [After Calzetta L, Koziol-White C. Pharmacological interactions: Synergism, or not synergism, that is the question. Curr Res Pharmacol Drug Discov. 2021 Aug 11;2:100046.] See also synergistic effect, antagonistic effect, drug interaction.","Additive Effect","Glossary CT 2025-09-26"
"C142382","C67497",,"CDISC Glossary","adequate and well-controlled studies",,"Studies used to support drug marketing authorization and intended to provide substantial evidence of effectiveness required by law to support a conclusion that a drug is effective. NOTE: For additional information see COA glossary of terms. [After 1. FDA Clinical Outcome Assessment (COA) Glossary; 2. 21 CFR 314.126]","Adequate and Well-controlled Study","Glossary CT 2025-09-26"
"C25729","C67497",,"CDISC Glossary","adherence",,"The act of abiding by a stated treatment plan or protocol. [NCI]","Adherence","Glossary CT 2025-09-26"
"C15675","C67497",,"CDISC Glossary","adjuvant therapy",,"Therapy administered to augment or stimulate other treatment modalities or to minimize or prevent disease recurrence subsequent to the main treatment. [After NCI Thesaurus] See also neoadjuvant therapy, treatment.","Adjuvant Therapy","Glossary CT 2025-09-26"
"C142383","C67497",,"CDISC Glossary","administrable dosage form",,"Pharmaceutical dose form for administration to the patient, after any necessary transformation of the manufactured items and their corresponding manufactured dose forms has been carried out. [After ISO 11615 Identification of medicinal products-Data elements and structures for the unique identification and exchange of regulated medicinal product information, Second edition 2017-10] See also route of administration, administration (substance).","Administrable Dosage Form","Glossary CT 2025-09-26"
"C70962","C67497",,"CDISC Glossary","administration (substance)",,"The act of introducing a substance into or onto the body. [After EDQM Standard Terms controlled vocabularies for pharmaceutical dose forms Version 1.2.0 2019. Internal controlled vocabularies for pharmaceutical dose forms. Version 1.2.0 - 28 January 2019.] See also route of administration, administrable dosage form.","Agent Administration","Glossary CT 2025-09-26"
"C142384","C67497",,"CDISC Glossary","admission criteria",,"Basis for selecting target population for a clinical trial. Subjects must be screened to ensure that their characteristics match a list of admission criteria and that none of their characteristics match any single one of the exclusion criteria set up for the study. See also inclusion criteria, exclusion criteria.","Admission Criteria","Glossary CT 2025-09-26"
"C142385","C67497",,"CDISC Glossary","adverse drug reaction (ADR)","adverse drug experience","Any noxious and unintended response associated with the use of a drug in humans. NOTE: 1. Post-approval: an adverse event that occurs at doses normally used in man for prophylaxis, diagnosis, or therapy of diseases or for modification of physiological function. 2. Pre-approval: an adverse event that occurs at any dose and where a causal relationship is at least a reasonable possibility. 3. FDA 21 CFR 310.305 defines an adverse drug experience to include any adverse event, ""whether or not considered to be drug-related."" CDISC recognizes that current usage incorporates the concept of causality. [WHO Technical Report 498(1972); ICH E2A]","Adverse Drug Reaction","Glossary CT 2025-09-26"
"C41331","C67497",,"CDISC Glossary","adverse event (AE)","adverse experience; side effects","Any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have a causal relationship with this treatment. an adverse event (AE) can therefore be any unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of a medicinal (investigational) product, whether or not related to the medicinal (investigational) product. NOTE: For further information, see the ICH Guideline for Clinical safety Data Management: Definitions and standards for expedited Reporting. [After ICH E2A] See also serious adverse event, serious adverse experience.","Adverse Event","Glossary CT 2025-09-26"
"C217358","C67497",,"CDISC Glossary","adverse event of special interest",,"An event (serious or non-serious) of scientific and medical concern specific to the sponsor's product or program, for which ongoing monitoring and rapid communication by the investigator to the sponsor can be appropriate. [ICH E19; ICH E2F]","Adverse Event of Special Interest","Glossary CT 2025-09-26"
"C41332","C67497",,"CDISC Glossary","adverse reaction",,"A response to a medicinal product, devices, or procedures, which is noxious and unintended. Response in this context means that a causal relationship between a medicinal product and an adverse event is at least a reasonable possibility. In the context of drug development, the term is used as a synonym of adverse drug reaction. (After ICH E2A)","Adverse Reaction","Glossary CT 2025-09-26"
"C156645","C67497",,"CDISC Glossary","AEGIS (ADROIT Electronically Generated Information Service)",,"A subscription service that provides subscribing organizations with access to adverse drug reaction data from the Medicines Control Agency ADROIT (Adverse Drug Reaction On-line Information Tracking) database.","ADROIT Electronically Generated Information Service","Glossary CT 2025-09-26"
"C156646","C67497",,"CDISC Glossary","AHIC (American Health Information Community)",,"A US government-charted commission providing input and recommendations to HHS on how to make health records digital and interoperable, and assure the privacy and security of those records (HITSP).","American Health Information Community","Glossary CT 2025-09-26"
"C221447","C67497",,"CDISC Glossary","AI prompt",,"Natural language inputs; a request made by the user to the AI tool. NOTE: It can be a question, code syntax, or any combination of text and code. Depending upon the prompt, the tool returns the response. [After ""What is an AI Prompt?"", GeeksforGeeks, 15 April 2025, https://www.geeksforgeeks.org/what-is-an-ai-prompt/] See also Generative AI (GenAI).","Artificial Intelligence Prompt","Glossary CT 2025-09-26"
"C156621","C67497",,"CDISC Glossary","ALCOA",,"Acronym for a number of attributes or dimensions that are considered of universal importance for data integrity of source data and the records that hold those data. These include that the data and records be: A-Attributable (to both subject and to any actor on a record); L-Legible (available for human review, possible to read electronically if an encoded eRecord); C-Contemporaneous (timing of data collection with respect to the time the observation is made: the more promptly an observation is recorded, the better the quality.); O-Original (the first suitably accurate and reliable recording of data for the intended purpose); A-Accurate (free from error especially as the result of care; an accurate diagnosis conforming exactly to truth or to a standard). NOTE: ALCOA stemmed from FDA's Dr. Stan Woollen's talks in the early 90's on earmarks for the quality of records and has become a widespread acronym reflecting best practices for clarity and usability of data. [From EMA Reflection Paper on eSOURCE in effect since 2010] See also: Data Quality and the Origin of ALCOA. See also: Six Primary Dimensions for Data Quality Assessment. See also ALCOA+, ALCOA++, data integrity, data quality.","Attributable, Legible, Contemporaneous, Original, Accurate","Glossary CT 2025-09-26"
"C156622","C67497",,"CDISC Glossary","ALCOA+","ALCOA Plus","Acronym for a number of attributes or dimensions included in ALCOA, plus the following: Complete, Consistent, Enduring, and Available when needed. NOTE: ALCOA+ is a recent way to summarily refer to the attributes or dimensions of data integrity.) [After EMA Reflection Paper on eSOURCE in effect since 2010. After WHO Annex V, Guidance on Good Data and Record Management Practices] See also ALCOA, ALCOA++, data integrity, data quality.","Attributable, Legible, Contemporaneous, Original, Accurate Plus","Glossary CT 2025-09-26"
"C209459","C67497",,"CDISC Glossary","ALCOA++","ALCOA Plus Plus","An extension to ALCOA+ (A-Attributable; L-Legible; C-Contemporaneous; O-Original; A-Accurate; + Complete, Consistent, Enduring, Available) to include traceability. [After Tetrascience ALCOA++ principles for data integrity Fact Sheet] See also ALCOA, ALCOA+, data integrity, data quality.","Attributable, Legible, Contemporaneous, Original, Accurate Plus Plus","Glossary CT 2025-09-26"
"C142753","C67497",,"CDISC Glossary","alert",,"To cause a high-priority signal (or warning) to be transmitted to the relevant stakeholder by way of the local system or another system (usually according to an established set of rules). For example, the system may transmit an alert to a patient's cardiologist that the patient has experienced another heart attack. another example is that the pharmacy system may transmit an alert to the prescribing physician that a potentially dangerous drug-drug interaction may occur based on the current list of medications. another example is that the system may notify a patient's physician that laboratory results (that are not within normal limits) are available. [HL7 EHR-SFM Glossary of Terms, 2010]","System Alert","Glossary CT 2025-09-26"
"C16275","C67497",,"CDISC Glossary","algorithm",,"Step-by-step procedures for making a series of choices among alternative decisions to reach a calculated result or decision. NOTE: An algorithm may be used clinically to guide treatment decisions for an individual patient on the basis of the patient's clinical outcome or result. [after AMA Style Guide, 9th Edition]","Algorithm","Glossary CT 2025-09-26"
"C142387","C67497",,"CDISC Glossary","alpha error",,"The likelihood that a relationship observed between two variables is due to chance. The probability of a Type 1 error. [Modified from AMA Manual of Style]","Alpha Error","Glossary CT 2025-09-26"
"C41200","C67497",,"CDISC Glossary","amendment",,"A written description of a change(s) to, or formal clarification of, a document.","Amendment","Glossary CT 2025-09-26"
"C142388","C67497",,"CDISC Glossary","American National Standards Institute (ANSI)",,"Founded in 1918, ANSI itself does not develop standards. ANSI's roles include serving as the coordinator for US voluntary standards efforts, acting as the approval body to recognize documents developed by other national organizations as American National Standards, acting as the US representative in international and regional standards efforts, and serving as a clearinghouse for national and international standards development information. [HL7]","American National Standards Institute","Glossary CT 2025-09-26"
"C142389","C67497",,"CDISC Glossary","analysis dataset",,"An organized collection of data or information with a common theme arranged in rows and columns and represented as a single file; comparable to a database table. NOTE: standardizing analysis datasets is intended to make review and assessment of analysis more consistent [ADaM].","Analysis Dataset","Glossary CT 2025-09-26"
"C142390","C67497",,"CDISC Glossary","analysis set",,"A set of subjects whose data are to be included in the main analyses. This should be defined in the statistical section of the protocol. NOTE: There are a number of potential analysis sets, including, for example, the set based upon the intent-to-treat principle. [ICH E9]","Analysis Set of Subjects","Glossary CT 2025-09-26"
"C142391","C67497",,"CDISC Glossary","analysis variables",,"Variables used to test the statistical hypotheses identified in the protocol and analysis plan; variables to be analyzed. See also variable.","Analysis Variable","Glossary CT 2025-09-26"
"C25391","C67497",,"CDISC Glossary","analysis","Analyze","The process of mathematically summarizing and comparing data to confirm or refute a hypothesis. [AMA Manual of Style]","Analysis","Glossary CT 2025-09-26"
"C142436","C67497",,"CDISC Glossary","anchor",,"Designation for a planned activity, often marking the transition between epochs or elements of a clinical study plan (e.g., ""FPFV-first patient first visit"").","Clinical Study Anchor","Glossary CT 2025-09-26"
"C142392","C67497",,"CDISC Glossary","anonymization",,"The process of protecting privacy that removes the association between the identifying data and the data subject. In anonymized data, the patient cannot be identified by the recipient of the information. [ISO TS 25237:2008; TransCelerate Protection of Personal Data in Clinical Documents - A Model Approach]","Anonymization","Glossary CT 2025-09-26"
